"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,6.949517e+000,1.971360e+001,4.410000e+002,2.500000e+001,137,1.669630e-001,1.751345e+002,5.108721e+001,1.329425e+001,2.208341e-001,1.203285e+001,1.824818e-001,1.408781e+000,7.225379e-001
2,C,4.666829e+000,1.971360e+001,3.730000e+002,2.000000e+001,92,1.629731e-001,1.524236e+002,5.322056e+001,1.326477e+001,2.686298e-001,1.577174e+001,2.173913e-001,1.478074e+000,7.453813e-001
2,D,5.985715e+000,1.971360e+001,2.100000e+002,3.400000e+001,118,1.677326e-001,1.538903e+002,5.492555e+001,1.508234e+001,3.685364e-001,2.077966e+001,2.881356e-001,1.536061e+000,7.277138e-001
2,E,2.110218e+001,1.971360e+001,6.420000e+002,1.840000e+002,416,1.947022e-001,1.851865e+002,5.730534e+001,1.733121e+001,5.318426e-001,3.185737e+001,4.423077e-001,1.629959e+000,7.273777e-001
2,F,2.003693e+001,1.971360e+001,5.330000e+002,2.060000e+002,395,1.889224e-001,2.012616e+002,5.784562e+001,1.514532e+001,5.446201e-001,3.584852e+001,5.215190e-001,1.557067e+000,7.444895e-001
2,G,2.992858e+001,1.971360e+001,6.590000e+002,2.220000e+002,590,1.881533e-001,1.826148e+002,5.508417e+001,1.453984e+001,4.381924e-001,2.711186e+001,3.762712e-001,1.638038e+000,7.326453e-001
3,B,7.456781e+000,1.971360e+001,2.480000e+002,3.500000e+001,147,1.680499e-001,1.580338e+002,5.229754e+001,1.353652e+001,3.104634e-001,1.700340e+001,2.380952e-001,1.492541e+000,7.279533e-001
3,C,8.065498e+000,1.971360e+001,2.730000e+002,4.000000e+001,159,1.680102e-001,1.551982e+002,5.249766e+001,1.421430e+001,3.291310e-001,1.716352e+001,2.515723e-001,1.472400e+000,7.447617e-001
3,D,7.964045e+000,1.971360e+001,2.340000e+002,3.500000e+001,157,1.672983e-001,1.612999e+002,5.350668e+001,1.431441e+001,2.872700e-001,1.572611e+001,2.229299e-001,1.436726e+000,7.452778e-001
3,E,2.749371e+001,1.971360e+001,6.520000e+002,2.550000e+002,542,2.019145e-001,1.807848e+002,5.687194e+001,1.713045e+001,5.692520e-001,3.315560e+001,4.704797e-001,1.650931e+000,7.259286e-001
3,F,4.195073e+001,1.971360e+001,9.160000e+002,4.010000e+002,827,1.927518e-001,1.830982e+002,5.795301e+001,1.630300e+001,5.753553e-001,3.438493e+001,4.848851e-001,1.644968e+000,7.257248e-001
3,G,3.495049e+001,1.971360e+001,7.470000e+002,3.040000e+002,689,1.953880e-001,1.871637e+002,5.592773e+001,1.602445e+001,5.066264e-001,3.043614e+001,4.412192e-001,1.636817e+000,7.250813e-001
4,B,8.775668e+000,1.971360e+001,4.000000e+002,3.900000e+001,173,1.677932e-001,1.695534e+002,5.154186e+001,1.271742e+001,2.758385e-001,1.498555e+001,2.254335e-001,1.511684e+000,7.207414e-001
