"","Date","Row","Well","CellLine","Cell.Nucleus","Time","drug","conc","rep","l2","nl2"
"1","20150227","B","B02","A375",137,0,"plx",8,1,7.09803208296053,0
"61","20150227","B","B02","A375",190,25.9614,"plx",8,1,7.56985560833095,0.471823525370421
"121","20150227","B","B02","A375",235,40.2572,"plx",8,1,7.876516946565,0.778484863604473
"181","20150227","B","B02","A375",626,70.355,"plx",8,1,9.29001884693262,2.19198676397209
"241","20150227","B","B02","A375",996,96.0494,"plx",8,1,9.96000193206808,2.86196984910756
"301","20150227","B","B02","A375",1109,120.4186,"plx",8,1,10.1150436501617,3.01701156720118
"361","20150227","B","B02","A375",1165,142.0008,"plx",8,1,10.1861142395416,3.08808215658112
"2","20150227","C","C02","A375",92,0,"plx",8,2,6.52356195605701,0
"62","20150227","C","C02","A375",196,25.9614,"plx",8,2,7.61470984411521,1.0911478880582
"122","20150227","C","C02","A375",246,40.2572,"plx",8,2,7.94251450533924,1.41895254928223
"182","20150227","C","C02","A375",456,70.355,"plx",8,2,8.83289001416474,2.30932805810773
"242","20150227","C","C02","A375",709,96.0494,"plx",8,2,9.46964181723952,2.9460798611825
"302","20150227","C","C02","A375",877,120.4186,"plx",8,2,9.77643303244473,3.25287107638772
"362","20150227","C","C02","A375",1074,142.0008,"plx",8,2,10.0687782779854,3.5452163219284
"3","20150227","D","D02","A375",118,0,"plx",8,3,6.88264304936184,0
"63","20150227","D","D02","A375",231,25.9614,"plx",8,3,7.85174904141606,0.969105992054216
"123","20150227","D","D02","A375",299,40.2572,"plx",8,3,8.2240016741981,1.34135862483626
"183","20150227","D","D02","A375",469,70.355,"plx",8,3,8.87344411251538,1.99080106315353
"243","20150227","D","D02","A375",730,96.0494,"plx",8,3,9.51175265376738,2.62910960440554
"303","20150227","D","D02","A375",923,120.4186,"plx",8,3,9.85018683764577,2.96754378828393
"363","20150227","D","D02","A375",1158,142.0008,"plx",8,3,10.1774195379892,3.29477648862739
"7","20150227","B","B03","A375",147,0,"plx",8,4,7.19967234483636,0
"67","20150227","B","B03","A375",208,25.9614,"plx",8,4,7.70043971814109,0.500767373304727
"127","20150227","B","B03","A375",260,40.2572,"plx",8,4,8.02236781302845,0.82269546819209
"187","20150227","B","B03","A375",583,70.355,"plx",8,4,9.1873520732005,1.98767972836413
"247","20150227","B","B03","A375",883,96.0494,"plx",8,4,9.78626962764847,2.5865972828121
"307","20150227","B","B03","A375",1025,120.4186,"plx",8,4,10.0014081943928,2.80173584955644
"367","20150227","B","B03","A375",1188,142.0008,"plx",8,4,10.2143191208008,3.0146467759644
"8","20150227","C","C03","A375",159,0,"plx",8,5,7.31288295528436,0
"68","20150227","C","C03","A375",284,25.9614,"plx",8,5,8.14974711950468,0.836864164220326
"128","20150227","C","C03","A375",325,40.2572,"plx",8,5,8.34429590791582,1.03141295263146
"188","20150227","C","C03","A375",709,70.355,"plx",8,5,9.46964181723952,2.15675886195516
"248","20150227","C","C03","A375",1029,96.0494,"plx",8,5,10.007027266894,2.69414431160961
"308","20150227","C","C03","A375",1404,120.4186,"plx",8,5,10.4553272203046,3.14244426502021
"368","20150227","C","C03","A375",1604,142.0008,"plx",8,5,10.6474584264549,3.33457547117056
"9","20150227","D","D03","A375",157,0,"plx",8,6,7.29462074889163,0
"69","20150227","D","D03","A375",292,25.9614,"plx",8,6,8.18982455888002,0.895203809988391
"129","20150227","D","D03","A375",318,40.2572,"plx",8,6,8.31288295528435,1.01826220639273
"189","20150227","D","D03","A375",581,70.355,"plx",8,6,9.18239435340453,1.8877736045129
"249","20150227","D","D03","A375",912,96.0494,"plx",8,6,9.83289001416474,2.53826926527311
"309","20150227","D","D03","A375",1184,120.4186,"plx",8,6,10.2094533656289,2.91483261673732
"369","20150227","D","D03","A375",1413,142.0008,"plx",8,6,10.4645457503339,3.16992500144231
"13","20150227","B","B04","A375",173,0,"plx",8,7,7.43462822763672,0
"73","20150227","B","B04","A375",321,25.9614,"plx",8,7,8.3264294871223,0.891801259485578
"133","20150227","B","B04","A375",396,40.2572,"plx",8,7,8.62935662007961,1.19472839244289
"193","20150227","B","B04","A375",881,70.355,"plx",8,7,9.78299820892041,2.34836998128369
"253","20150227","B","B04","A375",1180,96.0494,"plx",8,7,10.2045711442492,2.76994291661248
"313","20150227","B","B04","A375",1295,120.4186,"plx",8,7,10.3387363825739,2.90410815493719
"373","20150227","B","B04","A375",1436,142.0008,"plx",8,7,10.4878400338231,3.05321180618633
"14","20150227","C","C04","A375",238,0,"plx",8,8,7.89481776330794,0
"74","20150227","C","C04","A375",300,25.9614,"plx",8,8,8.22881869049588,0.334000927187938
"134","20150227","C","C04","A375",436,40.2572,"plx",8,8,8.76818432477693,0.873366561468983
"194","20150227","C","C04","A375",796,70.355,"plx",8,8,9.63662462054365,1.74180685723571
"254","20150227","C","C04","A375",1105,96.0494,"plx",8,8,10.1098306542788,2.21501289097085
"314","20150227","C","C04","A375",1436,120.4186,"plx",8,8,10.4878400338231,2.59302227051511
"374","20150227","C","C04","A375",1588,142.0008,"plx",8,8,10.632995197143,2.73817743383501
"15","20150227","D","D04","A375",240,0,"plx",8,9,7.90689059560852,0
"75","20150227","D","D04","A375",387,25.9614,"plx",8,9,8.59618975614441,0.689299160535891
"135","20150227","D","D04","A375",458,40.2572,"plx",8,9,8.83920378809694,0.932313192488425
"195","20150227","D","D04","A375",892,70.355,"plx",8,9,9.8008998999203,1.89400930431179
"255","20150227","D","D04","A375",1260,96.0494,"plx",8,9,10.2992080183873,2.39231742277876
"315","20150227","D","D04","A375",1672,120.4186,"plx",8,9,10.7073591320809,2.80046853647236
"375","20150227","D","D04","A375",1979,142.0008,"plx",8,9,10.9505558970475,3.04366530143899
"19","20150227","B","B05","A375",172,0,"plx",8,10,7.4262647547021,0
"79","20150227","B","B05","A375",269,25.9614,"plx",8,10,8.07146236255662,0.645197607854525
"139","20150227","B","B05","A375",375,40.2572,"plx",8,10,8.55074678538324,1.12448203068115
"199","20150227","B","B05","A375",796,70.355,"plx",8,10,9.63662462054365,2.21035986584155
"259","20150227","B","B05","A375",1061,96.0494,"plx",8,10,10.0512089409148,2.62494418621267
"319","20150227","B","B05","A375",1179,120.4186,"plx",8,10,10.2033480029798,2.77708324827766
"379","20150227","B","B05","A375",1338,142.0008,"plx",8,10,10.3858624006415,2.95959764593936
"20","20150227","C","C05","A375",206,0,"plx",8,11,7.68650052718322,0
"80","20150227","C","C05","A375",310,25.9614,"plx",8,11,8.27612440527424,0.58962387809102
"140","20150227","C","C05","A375",374,40.2572,"plx",8,11,8.54689445988764,0.860393932704419
"200","20150227","C","C05","A375",780,70.355,"plx",8,11,9.60733031374961,1.92082978656639
"260","20150227","C","C05","A375",1187,96.0494,"plx",8,11,10.2131042196419,2.52660369245869
"320","20150227","C","C05","A375",1525,120.4186,"plx",8,11,10.5745935273376,2.88809300015439
"380","20150227","C","C05","A375",1705,142.0008,"plx",8,11,10.7355560239115,3.04905549672832
"21","20150227","D","D05","A375",245,0,"plx",8,12,7.93663793900257,0
"81","20150227","D","D05","A375",272,25.9614,"plx",8,12,8.08746284125034,0.150824902247768
"141","20150227","D","D05","A375",404,40.2572,"plx",8,12,8.6582114827518,0.721573543749225
"201","20150227","D","D05","A375",862,70.355,"plx",8,12,9.7515440590891,1.81490612008653
"261","20150227","D","D05","A375",1218,96.0494,"plx",8,12,10.2502984179063,2.31366047890376
