"","Date","CellLine","Row","Cell.Nucleus","Well","Time","drug","conc","rep","l2","nl2"
"1","20160203","WM164","B",397,"B02",0,"plx",0,1,8.63299519714296,0
"31","20160203","WM164","B",257,"B02",16.4683,"plx",0,1,8.00562454919388,-0.627370647949078
"61","20160203","WM164","B",271,"B02",21.3894,"plx",0,1,8.08214904135387,-0.550846155789086
"91","20160203","WM164","B",366,"B02",28.7858,"plx",0,1,8.51569983828404,-0.117295358858915
"121","20160203","WM164","B",519,"B02",40.4903,"plx",0,1,9.01959072835788,0.386595531214924
"151","20160203","WM164","B",598,"B02",48.2967,"plx",0,1,9.2240016741981,0.591006477055148
"181","20160203","WM164","B",1010,"B02",68.5892,"plx",0,1,9.98013957763916,1.3471443804962
"211","20160203","WM164","B",1072,"B02",73.92,"plx",0,1,10.0660891904578,1.43309399331481
"241","20160203","WM164","B",1408,"B02",74.2592,"plx",0,1,10.4594316186373,1.82643642149434
"271","20160203","WM164","B",2122,"B02",91.7686,"plx",0,1,11.0512089409148,2.41821374377181
"301","20160203","WM164","B",2687,"B02",98.81,"plx",0,1,11.3917806060132,2.75878540887021
"331","20160203","WM164","B",4127,"B02",113.8211,"plx",0,1,12.010877723007,3.37788252586408
"361","20160203","WM164","B",8331,"B02",122.5478,"plx",0,1,13.02427396254,4.39127876539705
"391","20160203","WM164","B",15379,"B02",136.7453,"plx",0,1,13.9086740764809,5.27567887933792
"421","20160203","WM164","B",25879,"B02",160.6433,"plx",0,1,14.6594942502448,6.02649905310189
"451","20160203","WM164","B",19505,"B02",161.0481,"plx",0,1,14.2515563779119,5.61856118076897
"481","20160203","WM164","B",28339,"B02",168.0683,"plx",0,1,14.7905012302368,6.1575060330938
"511","20160203","WM164","B",19106,"B02",185.3547,"plx",0,1,14.2217381492724,5.58874295212941
"541","20160203","WM164","B",14299,"B02",192.0856,"plx",0,1,13.8036266352603,5.17063143811735
"571","20160203","WM164","B",29465,"B02",208.595,"plx",0,1,14.846714645739,6.21371944859601
"601","20160203","WM164","B",37161,"B02",217.0714,"plx",0,1,15.1815017046185,6.54850650747553
"631","20160203","WM164","B",45767,"B02",237.9711,"plx",0,1,15.4820201067738,6.84902490963082
"661","20160203","WM164","B",42311,"B02",244.2717,"plx",0,1,15.3687451630455,6.73574996590251
"691","20160203","WM164","B",31306,"B02",244.7022,"plx",0,1,14.9341515651638,6.30115636802082
"721","20160203","WM164","B",36598,"B02",280.5786,"plx",0,1,15.1594771901101,6.52648199296716
"4","20160203","WM164","B",404,"B03",0,"plx",0,2,8.6582114827518,0
"34","20160203","WM164","B",285,"B03",16.4683,"plx",0,2,8.1548181090521,-0.503393373699691
"64","20160203","WM164","B",352,"B03",21.3894,"plx",0,2,8.4594316186373,-0.198779864114499
"94","20160203","WM164","B",414,"B03",28.7858,"plx",0,2,8.69348695749933,0.0352754747475306
"124","20160203","WM164","B",526,"B03",40.4903,"plx",0,2,9.0389189892923,0.380707506540507
"154","20160203","WM164","B",596,"B03",48.2967,"plx",0,2,9.21916852046216,0.560957037710367
"184","20160203","WM164","B",1013,"B03",68.5892,"plx",0,2,9.98441845880114,1.32620697604934
"214","20160203","WM164","B",1177,"B03",73.92,"plx",0,2,10.2008986050384,1.54268712228665
"244","20160203","WM164","B",1395,"B03",74.2592,"plx",0,2,10.4460494067166,1.78783792396476
"274","20160203","WM164","B",2472,"B03",91.7686,"plx",0,2,11.2714630279044,2.61325154515258
"304","20160203","WM164","B",3110,"B03",98.81,"plx",0,2,11.602698865018,2.94448738226617
"334","20160203","WM164","B",5537,"B03",113.8211,"plx",0,2,12.4348888065304,3.7766773237786
"364","20160203","WM164","B",8134,"B03",122.5478,"plx",0,2,12.9897492754621,4.33153779271034
"394","20160203","WM164","B",18362,"B03",136.7453,"plx",0,2,14.1644355860646,5.50622410331282
"424","20160203","WM164","B",23177,"B03",160.6433,"plx",0,2,14.5004062174546,5.84219473470281
"454","20160203","WM164","B",17069,"B03",161.0481,"plx",0,2,14.059090919034,5.40087943628218
"484","20160203","WM164","B",26305,"B03",168.0683,"plx",0,2,14.6830494296222,6.02483794687036
"514","20160203","WM164","B",7002,"B03",185.3547,"plx",0,2,12.7735513464285,4.11533986367671
"544","20160203","WM164","B",16731,"B03",192.0856,"plx",0,2,14.0302360563618,5.37202457361
"574","20160203","WM164","B",21725,"B03",208.595,"plx",0,2,14.4070685565891,5.74885707383733
"604","20160203","WM164","B",19549,"B03",217.0714,"plx",0,2,14.2548071900519,5.59659570730012
"634","20160203","WM164","B",46216,"B03",237.9711,"plx",0,2,15.4961047793401,6.83789329658833
"664","20160203","WM164","B",41558,"B03",244.2717,"plx",0,2,15.3428386050257,6.68462712227387
"694","20160203","WM164","B",26052,"B03",244.7022,"plx",0,2,14.6691065113363,6.01089502858451
"724","20160203","WM164","B",29598,"B03",280.5786,"plx",0,2,14.8532120727156,6.19500058996385
"2","20160203","WM793","C",938,"C02",0,"plx",0,1,9.87344411251538,0
"32","20160203","WM793","C",1574,"C02",16.4683,"plx",0,1,10.6202198255075,0.746775712992111
"62","20160203","WM793","C",1839,"C02",21.3894,"plx",0,1,10.8447057644119,0.971261651896562
"92","20160203","WM793","C",2180,"C02",28.7858,"plx",0,1,11.0901124196643,1.21666830714891
"122","20160203","WM793","C",2894,"C02",40.4903,"plx",0,1,11.4988492065317,1.62540509401635
"152","20160203","WM793","C",4184,"C02",48.2967,"plx",0,1,12.0306671362469,2.15722302373157
"182","20160203","WM793","C",6883,"C02",68.5892,"plx",0,1,12.7488217946147,2.87537768209933
"212","20160203","WM793","C",9681,"C02",73.92,"plx",0,1,13.2409403632081,3.36749625069272
"242","20160203","WM793","C",9286,"C02",74.2592,"plx",0,1,13.1808415655667,3.30739745305129
"272","20160203","WM793","C",16169,"C02",91.7686,"plx",0,1,13.9809428351295,4.10749872261417
"302","20160203","WM793","C",19844,"C02",98.81,"plx",0,1,14.2764152418927,4.4029711293773
"332","20160203","WM793","C",17468,"C02",113.8211,"plx",0,1,14.0924268157803,4.21898270326488
"362","20160203","WM793","C",36092,"C02",122.5478,"plx",0,1,15.1393914704193,5.26594735790388
"392","20160203","WM793","C",27739,"C02",136.7453,"plx",0,1,14.7596281585215,4.88618404600614
"422","20160203","WM793","C",28899,"C02",160.6433,"plx",0,1,14.8187319511681,4.94528783865271
"452","20160203","WM793","C",22328,"C02",161.0481,"plx",0,1,14.4465664090661,4.57312229655069
"482","20160203","WM793","C",27954,"C02",168.0683,"plx",0,1,14.7707671158296,4.89732300331424
"512","20160203","WM793","C",20240,"C02",185.3547,"plx",0,1,14.3049216695817,4.4314775570663
"542","20160203","WM793","C",28484,"C02",192.0856,"plx",0,1,14.7978641373337,4.92442002481837
"572","20160203","WM793","C",21924,"C02",208.595,"plx",0,1,14.4202234193486,4.54677930683327
"602","20160203","WM793","C",31340,"C02",217.0714,"plx",0,1,14.9357175593599,5.06227344684457
"632","20160203","WM793","C",15349,"C02",237.9711,"plx",0,1,13.9058570454357,4.03241293292033
"662","20160203","WM793","C",25289,"C02",244.2717,"plx",0,1,14.6262223693555,4.7527782568401
"692","20160203","WM793","C",21053,"C02",244.7022,"plx",0,1,14.3617382079355,4.48829409542016
"722","20160203","WM793","C",10489,"C02",280.5786,"plx",0,1,13.3565895203998,3.48314540788438
"5","20160203","WM793","C",1038,"C03",0,"plx",0,2,10.0195907283579,0
"35","20160203","WM793","C",1467,"C03",16.4683,"plx",0,2,10.5186531556734,0.499062427315508
"65","20160203","WM793","C",1784,"C03",21.3894,"plx",0,2,10.8008998999203,0.781309171562423
"95","20160203","WM793","C",2323,"C03",28.7858,"plx",0,2,11.1817734388088,1.16218271045093
"125","20160203","WM793","C",2889,"C03",40.4903,"plx",0,2,11.4963544885646,1.47676376020673
"155","20160203","WM793","C",3999,"C03",48.2967,"plx",0,2,11.9654235658101,1.94583283745225
"185","20160203","WM793","C",8487,"C03",68.5892,"plx",0,2,13.0510389621174,3.03144823375953
"215","20160203","WM793","C",8479,"C03",73.92,"plx",0,2,13.0496784102864,3.03008768192851
"245","20160203","WM793","C",6587,"C03",74.2592,"plx",0,2,12.6854058347861,2.66581510642826
"275","20160203","WM793","C",13834,"C03",91.7686,"plx",0,2,13.7559307410844,3.73634001272652
"305","20160203","WM793","C",16347,"C03",98.81,"plx",0,2,13.9967382762977,3.9771475479398
"335","20160203","WM793","C",23547,"C03",113.8211,"plx",0,2,14.5232556448728,4.50366491651496
"365","20160203","WM793","C",28962,"C03",122.5478,"plx",0,2,14.8218736121658,4.80228288380788
"395","20160203","WM793","C",27606,"C03",136.7453,"plx",0,2,14.7526942418244,4.73310351346652
"425","20160203","WM793","C",37831,"C03",160.6433,"plx",0,2,15.2072812917013,5.18769056334341
"455","20160203","WM793","C",16881,"C03",161.0481,"plx",0,2,14.0431127487787,4.02352202042083
"485","20160203","WM793","C",42067,"C03",168.0683,"plx",0,2,15.3604013158057,5.34081058744785
"515","20160203","WM793","C",24988,"C03",185.3547,"plx",0,2,14.6089478145655,4.58935708620763
"545","20160203","WM793","C",26896,"C03",192.0856,"plx",0,2,14.7151040092362,4.69551328087829
"575","20160203","WM793","C",19075,"C03",208.595,"plx",0,2,14.2193954366093,4.19980470825137
"605","20160203","WM793","C",21053,"C03",217.0714,"plx",0,2,14.3617382079355,4.34214747957765
"635","20160203","WM793","C",19272,"C03",237.9711,"plx",0,2,14.2342186782385,4.21462794988059
"665","20160203","WM793","C",26129,"C03",244.2717,"plx",0,2,14.6733642909411,4.65377356258323
"695","20160203","WM793","C",18518,"C03",244.7022,"plx",0,2,14.176640671134,4.15704994277613
"725","20160203","WM793","C",17101,"C03",280.5786,"plx",0,2,14.0617930703249,4.04220234196698
"3","20160203","WM88","D",786,"D02",0,"plx",0,1,9.61838550225861,0
