"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,2.899927e+001,1.369000e+001,1.103000e+003,7.470000e+002,397,1.453272e-001,1.077692e+002,1.581640e+002,3.102637e+001,9.854039e-001,1.637471e+002,1.881612e+000,1.529190e+000,6.854656e-001
2,C,6.851717e+001,1.369000e+001,1.235000e+003,2.419000e+003,938,1.531131e-001,1.603659e+002,1.660838e+002,2.697444e+001,9.079245e-001,1.720492e+002,2.578891e+000,1.492684e+000,6.854261e-001
2,D,5.741417e+001,1.369000e+001,1.019000e+003,1.630000e+003,786,1.413954e-001,1.056557e+002,1.683434e+002,2.806989e+001,1.145838e+000,1.766977e+002,2.073791e+000,1.524359e+000,6.866270e-001
3,B,2.951059e+001,1.369000e+001,1.014000e+003,8.390000e+002,404,1.446177e-001,1.218223e+002,1.566142e+002,2.629214e+001,9.928303e-001,1.630867e+002,2.076733e+000,1.491158e+000,6.872290e-001
3,C,7.582177e+001,1.369000e+001,1.266000e+003,2.508000e+003,1038,1.582360e-001,1.459684e+002,1.626305e+002,2.756592e+001,9.565539e-001,1.706768e+002,2.416185e+000,1.483629e+000,6.787744e-001
3,D,7.275383e+001,1.369000e+001,1.341000e+003,2.056000e+003,996,1.487184e-001,1.022898e+002,1.689953e+002,3.051158e+001,1.149259e+000,1.776436e+002,2.064257e+000,1.526130e+000,6.914035e-001
4,B,1.950329e+001,1.369000e+001,8.240000e+002,6.110000e+002,267,1.380338e-001,1.322499e+002,1.612170e+002,2.816068e+001,1.034941e+000,1.770058e+002,2.288390e+000,1.455251e+000,6.950954e-001
4,C,6.464573e+001,1.369000e+001,1.091000e+003,2.173000e+003,885,1.557410e-001,1.425121e+002,1.650947e+002,2.800424e+001,9.592861e-001,1.707401e+002,2.455367e+000,1.509057e+000,6.836048e-001
4,D,3.265157e+001,1.369000e+001,8.040000e+002,1.107000e+003,447,1.518495e-001,1.401778e+002,1.728118e+002,3.324550e+001,1.057193e+000,1.884576e+002,2.476510e+000,1.489266e+000,7.019703e-001
5,B,3.257852e+001,1.369000e+001,1.095000e+003,9.650000e+002,446,1.374556e-001,1.192808e+002,1.646905e+002,2.770212e+001,1.057826e+000,1.730765e+002,2.163677e+000,1.538262e+000,6.735494e-001
5,C,8.100804e+001,1.369000e+001,1.301000e+003,2.589000e+003,1109,1.605014e-001,1.226878e+002,1.681640e+002,2.919650e+001,1.087798e+000,1.789525e+002,2.334536e+000,1.511416e+000,6.761297e-001
5,D,4.061359e+001,1.369000e+001,8.640000e+002,1.313000e+003,556,1.525509e-001,1.357681e+002,1.726629e+002,3.428916e+001,1.031679e+000,1.835827e+002,2.361511e+000,1.502524e+000,6.990297e-001
6,B,2.921841e+001,1.369000e+001,1.189000e+003,7.730000e+002,400,1.461343e-001,1.098006e+002,1.623642e+002,3.362243e+001,1.020760e+000,1.706264e+002,1.932500e+000,1.468077e+000,6.972533e-001
