"","Date","Row","Well","CellLine","Cell.Nucleus","Time","drug","conc","rep","l2","nl2"
"1","20160305","B","B02","WM164",1327,0,"plx",0,1,10.3739526553702,0
"61","20160305","B","B02","WM164",2157,17.9611,"plx",0,1,11.0748104611605,0.70085780579026
"121","20160305","B","B02","WM164",2517,22.1031,"plx",0,1,11.297489501161,0.923536845790787
"181","20160305","B","B02","WM164",4170,35.9519,"plx",0,1,12.025831668332,1.65187901296183
"241","20160305","B","B02","WM164",4088,40.3542,"plx",0,1,11.9971794809376,1.62322682556743
"301","20160305","B","B02","WM164",5594,46.1236,"plx",0,1,12.4496645384762,2.075711883106
"361","20160305","B","B02","WM164",6916,60.1431,"plx",0,1,12.7557221536423,2.38176949827209
"421","20160305","B","B02","WM164",10451,70.1628,"plx",0,1,13.3513533721921,2.97740071682195
"481","20160305","B","B02","WM164",8653,70.5689,"plx",0,1,13.078984687326,2.70503203195584
"541","20160305","B","B02","WM164",8620,71.0756,"plx",0,1,13.0734721539765,2.69951949860627
"601","20160305","B","B02","WM164",17090,85.8661,"plx",0,1,14.0608647765635,3.68691212119331
"661","20160305","B","B02","WM164",21382,95.6531,"plx",0,1,14.3841091837366,4.01015652836641
"721","20160305","B","B02","WM164",23905,108.7122,"plx",0,1,14.5450247852351,4.17107212986486
"781","20160305","B","B02","WM164",22438,113.4947,"plx",0,1,14.45365646732,4.07970381194985
"841","20160305","B","B02","WM164",22055,117.7861,"plx",0,1,14.4288181399796,4.05486548460939
"901","20160305","B","B02","WM164",23459,133.1547,"plx",0,1,14.5178538956529,4.14390124028269
"961","20160305","B","B02","WM164",41184,189.0514,"plx",0,1,15.3297963382207,4.95584368285051
"1021","20160305","B","B02","WM164",37164,209.0325,"plx",0,1,15.1816181683958,4.80766551302563
"1081","20160305","B","B02","WM164",37734,215.8778,"plx",0,1,15.203577420972,4.82962476560177
"1141","20160305","B","B02","WM164",33541,234.4217,"plx",0,2,15.0336380819739,4.6596854266037
"1201","20160305","B","B02","WM164",30940,239.6119,"plx",0,2,14.9171855763364,4.5432329209662
"1261","20160305","B","B02","WM164",40205,240.1172,"plx",0,2,15.2950873094771,4.9211346541069
"1321","20160305","B","B02","WM164",36554,251.3706,"plx",0,2,15.1577416643704,4.78378900900025
"1381","20160305","B","B02","WM164",43843,261.8069,"plx",0,2,15.4200588990396,5.04610624366936
"1441","20160305","B","B02","WM164",33796,277.2936,"plx",0,2,15.0445648828126,4.67061222744243
