"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,2.695398e+001,1.369000e+001,4.840000e+002,1.462000e+003,369,2.536146e-001,2.714474e+002,1.180685e+002,3.453939e+001,7.788744e-001,1.449186e+002,3.962060e+000,1.321462e+000,7.579612e-001
2,C,3.754565e+001,1.369000e+001,6.510000e+002,1.845000e+003,514,2.308824e-001,2.733275e+002,1.167225e+002,3.023120e+001,7.035255e-001,1.423720e+002,3.589494e+000,1.297112e+000,7.570594e-001
2,D,3.294375e+001,1.369000e+001,5.540000e+002,1.659000e+003,451,2.435705e-001,2.594000e+002,1.187692e+002,3.336782e+001,7.546704e-001,1.451287e+002,3.678492e+000,1.312396e+000,7.602480e-001
3,B,3.418554e+001,1.369000e+001,5.460000e+002,1.722000e+003,468,2.357538e-001,2.691961e+002,1.205128e+002,3.301525e+001,7.277452e-001,1.465714e+002,3.679487e+000,1.302431e+000,7.666699e-001
3,C,3.630387e+001,1.369000e+001,8.530000e+002,1.836000e+003,497,2.418578e-001,2.637850e+002,1.220669e+002,3.416078e+001,7.468179e-001,1.489077e+002,3.694165e+000,1.341569e+000,7.543293e-001
3,D,3.316289e+001,1.369000e+001,5.740000e+002,1.651000e+003,454,2.456995e-001,2.512396e+002,1.243877e+002,3.661185e+001,7.653294e-001,1.516351e+002,3.636564e+000,1.321500e+000,7.678383e-001
4,B,3.418554e+001,1.369000e+001,5.810000e+002,1.769000e+003,468,2.525088e-001,2.561024e+002,1.220742e+002,3.611062e+001,7.845675e-001,1.494238e+002,3.779915e+000,1.306742e+000,7.693169e-001
4,C,3.813002e+001,1.369000e+001,6.450000e+002,1.922000e+003,522,2.430853e-001,2.600776e+002,1.191903e+002,3.408830e+001,7.485062e-001,1.457451e+002,3.681992e+000,1.291857e+000,7.662586e-001
4,D,3.382031e+001,1.369000e+001,5.530000e+002,1.817000e+003,463,2.571252e-001,2.337197e+002,1.248964e+002,3.844102e+001,8.835757e-001,1.513464e+002,3.924406e+000,1.320729e+000,7.783380e-001
5,B,3.703433e+001,1.369000e+001,6.780000e+002,1.949000e+003,507,2.488508e-001,2.748980e+002,1.211531e+002,3.483661e+001,7.432942e-001,1.488618e+002,3.844181e+000,1.313810e+000,7.578805e-001
5,C,3.981008e+001,1.369000e+001,6.650000e+002,2.009000e+003,545,2.509523e-001,2.548013e+002,1.202063e+002,3.592302e+001,7.688083e-001,1.476587e+002,3.686239e+000,1.337741e+000,7.597802e-001
5,D,3.907962e+001,1.369000e+001,6.620000e+002,1.945000e+003,535,2.380921e-001,2.540098e+002,1.198199e+002,3.420810e+001,7.541093e-001,1.462417e+002,3.635514e+000,1.337099e+000,7.565913e-001
6,B,3.104456e+001,1.369000e+001,5.070000e+002,1.658000e+003,425,2.567602e-001,2.484141e+002,1.201708e+002,3.617809e+001,8.374326e-001,1.466994e+002,3.901176e+000,1.322999e+000,7.681747e-001
