"","Date","Row","Well","CellLine","Cell.Nucleus","Time","drug","conc","rep","l2","nl2"
"1","20160326","B","B02","SKMEL19",369,0,"plx",0,1,8.5274770060604,0
"31","20160326","B","B02","SKMEL19",444,16.7711,"plx",0,1,8.79441586635011,0.266938860289709
"61","20160326","B","B02","SKMEL19",439,28.5581,"plx",0,1,8.77807712953536,0.250600123474962
"91","20160326","B","B02","SKMEL19",322,40.0117,"plx",0,1,8.33091687811462,-0.196560127945778
"121","20160326","B","B02","SKMEL19",312,51.4247,"plx",0,1,8.28540221886225,-0.242074787198147
"151","20160326","B","B02","SKMEL19",307,64.4719,"plx",0,1,8.26209484537018,-0.265382160690217
"181","20160326","B","B02","SKMEL19",281,71.3511,"plx",0,1,8.13442632022093,-0.393050685839469
"211","20160326","B","B02","SKMEL19",319,73.8781,"plx",0,1,8.31741261376487,-0.210064392295527
"241","20160326","B","B02","SKMEL19",359,74.1261,"plx",0,1,8.48784003382305,-0.0396369722373446
"271","20160326","B","B02","SKMEL19",383,89.0269,"plx",0,1,8.58120058192496,0.0537235758645611
"301","20160326","B","B02","SKMEL19",427,99.4192,"plx",0,1,8.73809225962049,0.210615253560094
"331","20160326","B","B02","SKMEL19",535,114.6933,"plx",0,1,9.06339508128851,0.535918075228114
"361","20160326","B","B02","SKMEL19",693,121.8267,"plx",0,1,9.43671154213721,0.909234536076818
"391","20160326","B","B02","SKMEL19",937,137.8492,"plx",0,1,9.87190523765919,1.34442823159879
"421","20160326","B","B02","SKMEL19",1184,147.8594,"plx",0,1,10.2094533656289,1.68197635956855
"451","20160326","B","B02","SKMEL19",3056,148.1994,"plx",0,1,11.5774288280357,3.04995182197535
"481","20160326","B","B02","SKMEL19",3222,171.6789,"plx",0,1,11.6537407787066,3.12626377264617
"511","20160326","B","B02","SKMEL19",3738,188.4478,"plx",0,1,11.8680508537452,3.34057384768476
"541","20160326","B","B02","SKMEL19",7620,210.3272,"plx",0,1,12.8955752823807,4.36809827632029
"571","20160326","B","B02","SKMEL19",9503,220.8775,"plx",0,1,13.2141673140935,4.68669030803313
"601","20160326","B","B02","SKMEL19",10821,245.9553,"plx",0,1,13.4015462085087,4.87406920244833
"631","20160326","B","B02","SKMEL19",9903,246.1922,"plx",0,1,13.2736499239437,4.7461729178833
"661","20160326","B","B02","SKMEL19",12060,263.4114,"plx",0,1,13.5579422867874,5.03046528072705
"691","20160326","B","B02","SKMEL19",8739,285.9564,"plx",0,1,13.0932524868615,4.56577548080111
