"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,1.950329e+001,1.369000e+001,4.250000e+002,8.080000e+002,267,1.793142e-001,2.263534e+002,1.087917e+002,2.530048e+001,7.046801e-001,1.259285e+002,3.026217e+000,1.453495e+000,7.364695e-001
2,C,2.264427e+001,1.369000e+001,4.910000e+002,9.410000e+002,310,1.775746e-001,2.291386e+002,1.095970e+002,2.420649e+001,6.930643e-001,1.264149e+002,3.035484e+000,1.436047e+000,7.342956e-001
2,D,3.754565e+001,1.369000e+001,5.610000e+002,2.437000e+003,514,2.445005e-001,2.707987e+002,1.218985e+002,3.501031e+001,9.199843e-001,1.468367e+002,4.741245e+000,1.391676e+000,7.744179e-001
2,E,3.776479e+001,1.369000e+001,5.850000e+002,2.303000e+003,517,2.471164e-001,2.647727e+002,1.234151e+002,3.809441e+001,8.780519e-001,1.498432e+002,4.454545e+000,1.439637e+000,7.636556e-001
2,F,1.650840e+001,1.369000e+001,2.620000e+002,8.580000e+002,226,2.414399e-001,2.001674e+002,1.246309e+002,4.085503e+001,9.950637e-001,1.503413e+002,3.796460e+000,1.575233e+000,7.788641e-001
2,G,1.059167e+001,1.369000e+001,2.180000e+002,5.490000e+002,145,2.382042e-001,2.018697e+002,1.246174e+002,4.102578e+001,9.878934e-001,1.506794e+002,3.786207e+000,1.596082e+000,7.639274e-001
3,B,3.732652e+001,1.369000e+001,7.870000e+002,1.527000e+003,511,1.865714e-001,2.259180e+002,1.084009e+002,2.514348e+001,6.906387e-001,1.269058e+002,2.988258e+000,1.434881e+000,7.326213e-001
3,C,3.199416e+001,1.369000e+001,6.620000e+002,1.317000e+003,438,1.826402e-001,2.203879e+002,1.101381e+002,2.567220e+001,7.154140e-001,1.279170e+002,3.006849e+000,1.472385e+000,7.336608e-001
3,D,3.418554e+001,1.369000e+001,5.150000e+002,2.171000e+003,468,2.561555e-001,2.642171e+002,1.246333e+002,3.900806e+001,9.185302e-001,1.516048e+002,4.638889e+000,1.416672e+000,7.673947e-001
3,E,2.951059e+001,1.369000e+001,4.480000e+002,1.865000e+003,404,2.508436e-001,2.611458e+002,1.244556e+002,3.872692e+001,9.265798e-001,1.507199e+002,4.616337e+000,1.399251e+000,7.665544e-001
3,F,1.329438e+001,1.369000e+001,2.470000e+002,6.630000e+002,182,2.280782e-001,2.034151e+002,1.218202e+002,3.806003e+001,9.375642e-001,1.449494e+002,3.642857e+000,1.565292e+000,7.617398e-001
3,G,1.183346e+001,1.369000e+001,2.560000e+002,5.940000e+002,162,2.370459e-001,2.213522e+002,1.243899e+002,4.127735e+001,8.804835e-001,1.516327e+002,3.666667e+000,1.645451e+000,7.457201e-001
4,B,3.082542e+001,1.369000e+001,6.940000e+002,1.280000e+003,422,1.839197e-001,2.256278e+002,1.095691e+002,2.512457e+001,7.081642e-001,1.284184e+002,3.033175e+000,1.428679e+000,7.288911e-001
