"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,9.907774e-001,3.431649e+001,3.090000e+002,1.060000e+002,34,3.167823e-001,3.329997e+002,6.152333e+001,1.184932e+001,4.361259e-001,5.483720e+001,3.117647e+000,3.563516e+000,4.557487e-001
2,C,1.107339e+000,3.431649e+001,2.650000e+002,1.300000e+002,38,3.163786e-001,3.513385e+002,6.030242e+001,1.311049e+001,4.804675e-001,6.516487e+001,3.421053e+000,3.093553e+000,4.761791e-001
2,D,1.369604e+000,3.431649e+001,2.340000e+002,2.220000e+002,47,3.554494e-001,3.460954e+002,6.317686e+001,1.265290e+001,6.890736e-001,7.112803e+001,4.723404e+000,4.204104e+000,4.302056e-001
2,E,1.427885e+000,3.431649e+001,3.300000e+002,1.980000e+002,49,2.804055e-001,3.285479e+002,8.821740e+001,1.973648e+001,6.191413e-001,9.912370e+001,4.040816e+000,2.795573e+000,5.277721e-001
2,F,1.631869e+000,3.431649e+001,3.000000e+002,1.900000e+002,56,2.873805e-001,3.204546e+002,7.415093e+001,1.526093e+001,5.063493e-001,7.689392e+001,3.392857e+000,3.049002e+000,4.980173e-001
2,G,2.360381e+000,3.431649e+001,2.950000e+002,1.690000e+002,81,2.853404e-001,3.127525e+002,5.509780e+001,1.311532e+001,3.200429e-001,4.745974e+001,2.086420e+000,4.012346e+000,4.073702e-001
3,B,9.616369e-001,3.431649e+001,4.130000e+002,9.900000e+001,33,3.027309e-001,3.206821e+002,5.818284e+001,1.075156e+001,4.004665e-001,4.854075e+001,3.000000e+000,3.562863e+000,4.522718e-001
3,C,1.253042e+000,3.431649e+001,2.460000e+002,1.250000e+002,43,3.083946e-001,3.123069e+002,6.494383e+001,1.352659e+001,5.106841e-001,6.212322e+001,2.906977e+000,3.998311e+000,4.464927e-001
3,D,1.340464e+000,3.431649e+001,2.290000e+002,2.110000e+002,46,3.995000e-001,3.311632e+002,6.938215e+001,1.859544e+001,7.418466e-001,8.377495e+001,4.586957e+000,3.217602e+000,4.848335e-001
3,E,1.457026e+000,3.431649e+001,2.600000e+002,2.220000e+002,50,3.357295e-001,3.448089e+002,7.637379e+001,1.550079e+001,6.402643e-001,8.592298e+001,4.440000e+000,2.925847e+000,5.032874e-001
3,F,1.748431e+000,3.431649e+001,2.110000e+002,2.540000e+002,60,3.990216e-001,3.168817e+002,6.479706e+001,1.517141e+001,7.004348e-001,7.508811e+001,4.233333e+000,3.119061e+000,4.689018e-001
3,G,2.127257e+000,3.431649e+001,3.430000e+002,3.380000e+002,73,3.575587e-001,3.321396e+002,9.032315e+001,2.580836e+001,7.163619e-001,1.025169e+002,4.630137e+000,3.176378e+000,4.919147e-001
4,B,1.515307e+000,3.431649e+001,3.010000e+002,1.830000e+002,52,3.104420e-001,3.321095e+002,6.901146e+001,1.290077e+001,4.949940e-001,7.062710e+001,3.519231e+000,3.597318e+000,4.541878e-001
