"","X","Time","CellLine","drug","conc","N","nl2","sd","se","ci"
"4",5,0,"Parental","plx",8,12,0,0.056178735,0.016217404,0.035694265
"5",9,7.5003,"Parental","plx",8,12,-0.022852909,0.05076156,0.0146536,0.032252356
"6",11,11.6386,"Parental","plx",8,12,-0.075735136,0.050844018,0.014677404,0.032304748
"7",12,22.5261,"Parental","plx",8,10,-0.272122426,0.025095364,0.007935851,0.017952142
"8",16,28.1525,"Parental","plx",8,12,-0.325220495,0.126506494,0.036519279,0.080378391
"9",19,30.3261,"Parental","plx",8,12,-0.272920756,0.082708355,0.023875845,0.052550382
"10",20,32.8609,"Parental","plx",8,12,-0.282984995,0.119020171,0.034358164,0.075621809
"11",21,35.5786,"Parental","plx",8,12,-0.242763724,0.079601342,0.022978928,0.05057628
"12",22,46.2234,"Parental","plx",8,12,-0.188557033,0.120439979,0.034768027,0.076523912
"13",25,49.2039,"Parental","plx",8,12,-0.00959074899999995,0.078656856,0.022706278,0.049976182
"14",26,53.5911,"Parental","plx",8,12,-0.07092605,0.099054944,0.028594699,0.062936509
"15",28,56.0628,"Parental","plx",8,12,-0.07614079,0.090366101,0.026086446,0.057415881
"16",30,56.7984,"Parental","plx",8,10,0.020576388,0.062209317,0.019672313,0.044501864
"17",32,61.1331,"Parental","plx",8,6,-0.027020649,0.130825632,0.053409341,0.137293081
"18",34,70.9023,"Parental","plx",8,10,0.245584625,0.035679149,0.011282738,0.025523326
"19",35,73.5886,"Parental","plx",8,12,0.183985163,0.113033708,0.032630021,0.071818192
"20",38,80.3006,"Parental","plx",8,10,0.313214542,0.037030982,0.011710225,0.026490369
"21",40,81.0917,"Parental","plx",8,12,0.238721192,0.124270587,0.035873828,0.078957764
"22",42,93.7173,"Parental","plx",8,10,0.423236585,0.031313749,0.009902277,0.022400507
"23",44,99.0645,"Parental","plx",8,12,0.376652112,0.131027437,0.037824363,0.083250861
"24",48,107.5492,"Parental","plx",8,12,0.426682823,0.1305441,0.037684836,0.082943764
"25",49,118.3834,"Parental","plx",8,10,0.593824965,0.035772291,0.011312192,0.025589955
"26",51,124.6628,"Parental","plx",8,6,0.453572677,0.315852337,0.128946177,0.3314667
"27",55,128.8034,"Parental","plx",8,10,0.546482943,0.050313419,0.0159105,0.035992052
"28",57,130.68,"Parental","plx",8,6,0.460335896,0.311473214,0.127158407,0.326871092
"29",58,141.905,"Parental","plx",8,10,0.591329288,0.04861094,0.015372129,0.034774172
"30",60,148.0431,"Parental","plx",8,6,0.565673712,0.31729563,0.129535398,0.332981342
"31",64,153.365,"Parental","plx",8,12,0.508422636,0.136297674,0.039345749,0.08659941
"32",65,156.715,"Parental","plx",8,6,0.483712044,0.337719697,0.137873489,0.354415086
"33",66,166.0767,"Parental","plx",8,12,0.545481227,0.125617045,0.036262518,0.079813263
"34",69,170.315,"Parental","plx",8,6,0.502856465,0.320717975,0.130932565,0.336572873
"35",70,173.1286,"Parental","plx",8,10,0.647952816,0.049925931,0.015787965,0.035714859
"36",71,175.2356,"Parental","plx",8,12,0.632579519,0.150984517,0.043585476,0.095930986
"37",72,177.0448,"Parental","plx",8,7,0.483816708,0.14171952,0.053564944,0.131068695
"38",73,178.27,"Parental","plx",8,6,0.48547337,0.321963146,0.131440904,0.3378796
"39",75,190.4998,"Parental","plx",8,7,0.57061342,0.108055195,0.040841025,0.099934388
"40",76,194.5748,"Parental","plx",8,7,0.57423017,0.197572716,0.074675467,0.182724286
"41",77,194.9217,"Parental","plx",8,6,0.518024347,0.330691096,0.135004075,0.347039022
"42",79,196.4317,"Parental","plx",8,7,0.583987023,0.205017137,0.077489194,0.189609228
"43",80,197.8989,"Parental","plx",8,10,0.564913108,0.043408085,0.013726842,0.031052273
"44",82,199.1164,"Parental","plx",8,7,0.56958529,0.156340101,0.059091004,0.144590478
"45",84,202.2684,"Parental","plx",8,6,0.550806218,0.292583185,0.119446585,0.307047222
"46",85,214.0131,"Parental","plx",8,7,0.56958529,0.156340101,0.059091004,0.144590478
"47",86,214.9886,"Parental","plx",8,10,0.611428719,0.043648227,0.013802781,0.031224061
"48",87,216.9106,"Parental","plx",8,6,0.490361929,0.084844324,0.03463755,0.089038658
"49",88,222.3631,"Parental","plx",8,6,0.620431265,0.32197862,0.131447221,0.337895839
"50",89,224.5745,"Parental","plx",8,10,0.624256581,0.06869456,0.021723127,0.049141128
"51",90,239.7053,"Parental","plx",8,10,0.629048239,0.060384985,0.019095409,0.043196816
"52",91,242.9725,"Parental","plx",8,6,0.562451374,0.093248794,0.038068661,0.097858608
"53",92,245.0373,"Parental","plx",8,6,0.708116008,0.340025267,0.138814734,0.356834634
"54",93,249.0642,"Parental","plx",8,6,0.435275796,0.102587039,0.041880983,0.107658495
"55",94,262.2636,"Parental","plx",8,10,0.665159822,0.087276892,0.027599377,0.062434127
"56",95,267.7081,"Parental","plx",8,6,0.476946555,0.137590454,0.056171068,0.144392327
"57",97,290.4517,"Parental","plx",8,6,0.58053104,0.135584749,0.055352242,0.142287468
"58",98,296.2428,"Parental","plx",8,6,0.499269609,0.10532572,0.042999045,0.110532564
"59",99,313.857,"Parental","plx",8,6,0.533708529,0.086616647,0.035361098,0.090898596
"60",100,341.92,"Parental","plx",8,6,0.60010467,0.15223285,0.062148801,0.159758579
"61",101,371.9648,"Parental","plx",8,6,0.66150311,0.206351141,0.084242501,0.216552242
"62",102,385.8031,"Parental","plx",8,6,0.630201239,0.29565279,0.120699746,0.310268575
"63",103,391.9431,"Parental","plx",8,6,0.554497694,0.253114705,0.103333646,0.265627592
"64",104,410.6481,"Parental","plx",8,6,0.464011566,0.282508311,0.115333535,0.29647429
"65",105,431.0439,"Parental","plx",8,6,0.569867246,0.29153887,0.119020245,0.305951281
"66",106,454.7742,"Parental","plx",8,6,0.655835603,0.337300841,0.137702492,0.353975524
"67",107,479.9475,"Parental","plx",8,6,0.673810368,0.380885365,0.155495799,0.399714677
"68",108,487.6278,"Parental","plx",8,6,0.713060195,0.347021064,0.141670756,0.364176272
"69",111,531.5978,"Parental","plx",8,6,0.401599636,0.453737058,0.185237378,0.476167839
"70",112,554.2856,"Parental","plx",8,6,0.593049215,0.510853845,0.208555209,0.536108232
