"","X","Date","CellLine","Time","nl2"
"1",1,20160501,"Subclones_Mix",0,0
"2",2,20160501,"Subclones_Mix",8.4567,-0.124905879
"3",3,20160501,"Subclones_Mix",24.5683,-0.063255409
"4",4,20160501,"Subclones_Mix",51.7583,0.291630525
"5",5,20160501,"Subclones_Mix",52.5058,0.291630525
"6",6,20160501,"Subclones_Mix",68.845,0.416412149
"7",7,20160501,"Subclones_Mix",81.2608,0.497556963
"8",8,20160501,"Subclones_Mix",94.853,0.516909299
"9",9,20160501,"Subclones_Mix",101.3364,0.506297653
"10",10,20160501,"Subclones_Mix",118.2158,0.537901264
"11",11,20160501,"Subclones_Mix",123.5814,0.51016547
"12",12,20160501,"Subclones_Mix",124.3178,0.51016547
"13",13,20160501,"Subclones_Mix",141.1897,0.556723384
"14",14,20160501,"Subclones_Mix",148.9114,0.594557658
"15",15,20160501,"Subclones_Mix",165.3714,0.593646578
"16",16,20160501,"Subclones_Mix",176.7311,0.617149648
"17",17,20160501,"Subclones_Mix",190.4194,0.60995863
"18",18,20160501,"Subclones_Mix",200.6008,0.619837066
"19",19,20160501,"Subclones_Mix",201.0092,0.619837066
"20",20,20160501,"Subclones_Mix",213.6783,0.763672839
"21",21,20160501,"Subclones_Mix",220.4028,0.781384719
"22",22,20160501,"Subclones_Mix",237.5511,0.782184661
"23",23,20160501,"Subclones_Mix",0,0
"24",24,20160501,"Subclones_Mix",8.4567,-0.074197478
"25",25,20160501,"Subclones_Mix",24.5683,0.021043544
"26",26,20160501,"Subclones_Mix",51.7583,0.32466873
"27",27,20160501,"Subclones_Mix",52.5058,0.32466873
"28",28,20160501,"Subclones_Mix",68.845,0.441294316
"29",29,20160501,"Subclones_Mix",81.2608,0.565293837
"30",30,20160501,"Subclones_Mix",94.853,0.639210147
"31",31,20160501,"Subclones_Mix",101.3364,0.63359498
"32",32,20160501,"Subclones_Mix",118.2158,0.686464208
"33",33,20160501,"Subclones_Mix",123.5814,0.673231952
"34",34,20160501,"Subclones_Mix",124.3178,0.673231952
"35",35,20160501,"Subclones_Mix",141.1897,0.693420694
"36",36,20160501,"Subclones_Mix",148.9114,0.727708697
"37",37,20160501,"Subclones_Mix",165.3714,0.728461473
"38",38,20160501,"Subclones_Mix",176.7311,0.684137906
"39",39,20160501,"Subclones_Mix",190.4194,0.675575892
"40",40,20160501,"Subclones_Mix",200.6008,0.718644614
"41",41,20160501,"Subclones_Mix",201.0092,0.718644614
"42",42,20160501,"Subclones_Mix",213.6783,0.690333063
"43",43,20160501,"Subclones_Mix",220.4028,0.656716865
"44",44,20160501,"Subclones_Mix",237.5511,0.68025238
"45",45,20160501,"Subclones_Mix",0,0
"46",46,20160501,"Subclones_Mix",8.4567,0.022442375
"47",47,20160501,"Subclones_Mix",24.5683,0.151679945
"48",48,20160501,"Subclones_Mix",51.7583,0.457226899
"49",49,20160501,"Subclones_Mix",52.5058,0.457226899
"50",50,20160501,"Subclones_Mix",68.845,0.597295594
"51",51,20160501,"Subclones_Mix",81.2608,0.715153023
"52",52,20160501,"Subclones_Mix",94.853,0.733730851
"53",53,20160501,"Subclones_Mix",101.3364,0.747268303
"54",54,20160501,"Subclones_Mix",118.2158,0.774912463
"55",55,20160501,"Subclones_Mix",123.5814,0.696332841
"56",56,20160501,"Subclones_Mix",124.3178,0.696332841
"57",57,20160501,"Subclones_Mix",141.1897,0.679283067
"58",58,20160501,"Subclones_Mix",148.9114,0.723004444
"59",59,20160501,"Subclones_Mix",165.3714,0.807585698
"60",60,20160501,"Subclones_Mix",176.7311,0.760679907
"61",61,20160501,"Subclones_Mix",190.4194,0.72983956
"62",62,20160501,"Subclones_Mix",200.6008,0.701309373
"63",63,20160501,"Subclones_Mix",201.0092,0.701309373
"64",64,20160501,"Subclones_Mix",213.6783,0.689336731
"65",65,20160501,"Subclones_Mix",220.4028,0.625843808
"66",66,20160501,"Subclones_Mix",237.5511,0.721045591
"67",67,20150426,"Subclones_Mix",0,0
"68",68,20150426,"Subclones_Mix",23.4789,-0.166215102153007
"69",69,20150426,"Subclones_Mix",31.2453,-0.108781834760933
"70",70,20150426,"Subclones_Mix",46.5181,0.0836648391323447
"71",71,20150426,"Subclones_Mix",49.7047,-0.103727021497798
"72",72,20150426,"Subclones_Mix",57.3389,0.0408386073731233
"73",73,20150426,"Subclones_Mix",71.5639,0.173223160498045
