"","Date","Slice","Time","Count","cID","l2","nl2","CellLine","drug","conc"
"8","20160303","Well-R06-C02H2B_day7",0,141,1,7.13955135239879,0,"WM88","PLX4720",8
"9","20160303","Well-R06-C02H2B_day8",27.4583,157,1,7.29462074889163,0.155069396492833,"WM88","PLX4720",8
"10","20160303","Well-R06-C02H2B_day9",47.4022,210,1,7.71424551766612,0.574694165267329,"WM88","PLX4720",8
"11","20160303","Well-R06-C02H2B_day10",63.2844,190,1,7.56985560833095,0.430304255932154,"WM88","PLX4720",8
"12","20160303","Well-R06-C02H2B_day11",90.4275,198,1,7.62935662007961,0.489805267680816,"WM88","PLX4720",8
"13","20160303","Well-R06-C02H2B_day12",96.8119,61,1,5.93073733756289,-1.20881401483591,"WM88","PLX4720",8
"14","20160303","Well-R06-C02H2B_day13",118.4314,48,1,5.58496250072116,-1.55458885167764,"WM88","PLX4720",8
"15","20160303","Well-R06-C02H2B_day14",145.9144,51,1,5.6724253419715,-1.4671260104273,"WM88","PLX4720",8
"16","20160303","Well-R06-C02H2B_day15",162.1647,44,1,5.4594316186373,-1.6801197337615,"WM88","PLX4720",8
"17","20160303","Well-R06-C02H2B_day16",185.4147,40,1,5.32192809488736,-1.81762325751143,"WM88","PLX4720",8
"25","20160303","Well-R06-C05H2B_day7",0,105,2,6.71424551766612,0,"WM88","PLX4720",8
"26","20160303","Well-R06-C05H2B_day8",27.4583,100,2,6.64385618977472,-0.0703893278913981,"WM88","PLX4720",8
"27","20160303","Well-R06-C05H2B_day9",47.4022,96,2,6.58496250072116,-0.129283016944966,"WM88","PLX4720",8
"28","20160303","Well-R06-C05H2B_day10",63.2844,96,2,6.58496250072116,-0.129283016944966,"WM88","PLX4720",8
"29","20160303","Well-R06-C05H2B_day11",90.4275,109,2,6.76818432477693,0.0539388071108036,"WM88","PLX4720",8
"30","20160303","Well-R06-C05H2B_day12",96.8119,75,2,6.22881869049588,-0.485426827170242,"WM88","PLX4720",8
"31","20160303","Well-R06-C05H2B_day13",118.4314,71,2,6.14974711950468,-0.56449839816144,"WM88","PLX4720",8
"32","20160303","Well-R06-C05H2B_day14",145.9144,90,2,6.49185309632967,-0.222392421336448,"WM88","PLX4720",8
"33","20160303","Well-R06-C05H2B_day15",162.1647,102,2,6.6724253419715,-0.0418201756946273,"WM88","PLX4720",8
"34","20160303","Well-R06-C05H2B_day16",185.4147,96,2,6.58496250072116,-0.129283016944966,"WM88","PLX4720",8
"42","20160303","Well-R06-C05H2B_day7",0,187,3,7.54689445988764,0,"WM88","PLX4720",8
"43","20160303","Well-R06-C05H2B_day8",27.4583,229,3,7.83920378809694,0.292309328209307,"WM88","PLX4720",8
"44","20160303","Well-R06-C05H2B_day9",47.4022,169,3,7.40087943628218,-0.146015023605452,"WM88","PLX4720",8
"45","20160303","Well-R06-C05H2B_day10",63.2844,136,3,7.08746284125034,-0.459431618637297,"WM88","PLX4720",8
"46","20160303","Well-R06-C05H2B_day11",90.4275,163,3,7.34872815423108,-0.198166305656559,"WM88","PLX4720",8
"47","20160303","Well-R06-C05H2B_day12",96.8119,138,3,7.10852445677817,-0.438370003109467,"WM88","PLX4720",8
"48","20160303","Well-R06-C05H2B_day13",118.4314,132,3,7.04439411935845,-0.502500340529183,"WM88","PLX4720",8
"49","20160303","Well-R06-C05H2B_day14",145.9144,162,3,7.33985000288462,-0.207044457003012,"WM88","PLX4720",8
"50","20160303","Well-R06-C05H2B_day15",162.1647,154,3,7.2667865406949,-0.280107919192735,"WM88","PLX4720",8
"51","20160303","Well-R06-C05H2B_day16",185.4147,163,3,7.34872815423108,-0.198166305656559,"WM88","PLX4720",8
"59","20160303","Well-R06-C06H2B_day7",0,217,4,7.76155123244448,0,"WM88","PLX4720",8
"60","20160303","Well-R06-C06H2B_day8",27.4583,246,4,7.94251450533924,0.18096327289476,"WM88","PLX4720",8
"61","20160303","Well-R06-C06H2B_day9",47.4022,206,4,7.68650052718322,-0.075050705261261,"WM88","PLX4720",8
