"","Cell","conc","rates"
"Time55","SKMEL19",8,0.00182214252604873
"Time56","SKMEL19",8,-0.0112170815580028
"Time57","SKMEL19",8,0.00513148017172198
"Time58","SKMEL19",8,-0.0208333333333334
"Time59","SKMEL19",8,0.000897265039414304
"Time60","SKMEL19",8,0.00777536090800452
"Time61","SKMEL19",8,-0.00286465674479046
"Time62","SKMEL19",8,0.00441498104389452
"Time63","SKMEL19",8,0.0139332102400962
"Time64","SKMEL19",8,-0.00721771695877987
"Time65","SKMEL19",8,0.0208333333333333
"Time66","SKMEL19",8,-0.00506814897942421
"Time67","SKMEL19",8,-0.00566832386326673
"Time68","SKMEL19",8,0.0139245522689333
"Time69","SKMEL19",8,0.0071434940317293
"Time70","SKMEL19",8,0.0104936483145675
"Time71","SKMEL19",8,0.00434555462107119
"Time72","SKMEL19",8,-0.0129822019710218
"Time73","SKMEL19",8,0.00580658391804287
"Time74","SKMEL19",8,-0.0156681768032586
"Time75","SKMEL19",8,0.00890846193295596
"Time76","SKMEL19",8,0.00817327964122411
"Time77","SKMEL19",8,-0.00806298173144275
"Time78","SKMEL19",8,0.00654392896725122
"Time79","SKMEL19",8,0.00702156223494935
"Time80","SKMEL19",8,0.00184139571143903
"Time81","SKMEL19",8,-0.0125848192431015
"Time82","SKMEL19",8,0.00541496734608211
"Time83","SKMEL19",8,-0.000733113092964628
"Time84","SKMEL19",8,-0.026028322269515
"Time85","SKMEL19",8,0.0170144330549362
"Time86","SKMEL19",8,0.00730202598091957
"Time87","SKMEL19",8,0.00473475089328115
"Time88","SKMEL19",8,0.00270349739521514
"Time89","SKMEL19",8,-0.007939378486573
"Time90","SKMEL19",8,0.0101917399565774
"Time91","SKMEL19",8,0.0305651252172354
"Time92","SKMEL19",8,0.00124962718392135
"Time93","SKMEL19",8,-0.00603138785822875
"Time94","SKMEL19",8,0.0190010895984229
"Time95","SKMEL19",8,0.00485831617277146
"Time96","SKMEL19",8,0.000686467120860187
"Time97","SKMEL19",8,-0.0162339858571505
"Time98","SKMEL19",8,0.00469358983004666
"Time99","SKMEL19",8,0.00755354332051475
"Time100","SKMEL19",8,-0.00957149205494382
"Time101","SKMEL19",8,-0.0116352143616659
"Time102","SKMEL19",8,0.00302495657374871
"Time103","SKMEL19",8,-0.00534948782004398
"Time104","SKMEL19",8,0.0106835982284441
"Time105","SKMEL19",8,0.0269886642401285
"Time106","SKMEL19",8,0.0174635193750706
"Time107","SKMEL19",8,0.00354010419671475
"Time108","SKMEL19",8,0.00568788530013352
"Time109","SKMEL19",8,0.0198477976087843
"Time110","SKMEL19",8,0.00076095575052311
"Time111","SKMEL19",8,-0.010228882344003
"Time112","SKMEL19",8,-5.27452935339081e-17
"Time113","SKMEL19",8,0.00324785436561538
"Time114","SKMEL19",8,0.000100020547162863
"Time115","SKMEL19",8,0.0094273375978647
