"","X.1","X","Row","Column","Cell.Nucleus","Time","Well","l2","CellLine","drug","cond","conc","rep","nl2"
"1",117,5,"F",2,1407,0,"F02",10.4584066132365,"SKMEL5 Parental","plx","Drug-naive",0,1,0
"2",118,65,"F",2,1923,13.6606,"F02",10.9091430473399,"SKMEL5 Parental","plx","Drug-naive",0,1,0.450736434103366
"3",119,125,"F",2,2481,22.1131,"F02",11.2767060198924,"SKMEL5 Parental","plx","Drug-naive",0,1,0.8182994066559
"4",120,185,"F",2,2022,24.575,"F02",10.981567281903,"SKMEL5 Parental","plx","Drug-naive",0,1,0.523160668666483
"5",121,245,"F",2,3704,38.0756,"F02",11.8548683832602,"SKMEL5 Parental","plx","Drug-naive",0,1,1.3964617700237
"6",122,305,"F",2,3988,42.5656,"F02",11.9614496943982,"SKMEL5 Parental","plx","Drug-naive",0,1,1.50304308116166
"7",123,365,"F",2,3845,46.7875,"F02",11.9087678828492,"SKMEL5 Parental","plx","Drug-naive",0,1,1.45036126961266
"8",124,425,"F",2,6836,64.1572,"F02",12.7389366816761,"SKMEL5 Parental","plx","Drug-naive",0,1,2.28053006843961
"9",125,485,"F",2,6801,68.0961,"F02",12.7315311764619,"SKMEL5 Parental","plx","Drug-naive",0,1,2.27312456322541
"10",126,545,"F",2,6844,68.5597,"F02",12.7406240444894,"SKMEL5 Parental","plx","Drug-naive",0,1,2.28221743125288
"11",127,605,"F",2,8251,72.9506,"F02",13.0103532655493,"SKMEL5 Parental","plx","Drug-naive",0,1,2.55194665231272
"12",128,665,"F",2,11685,87.6475,"F02",13.5123701136702,"SKMEL5 Parental","plx","Drug-naive",0,1,3.05396350043366
"13",129,725,"F",2,11881,94.6431,"F02",13.5363686495539,"SKMEL5 Parental","plx","Drug-naive",0,1,3.07796203631732
"14",130,785,"F",2,12770,98.6264,"F02",13.6404709045901,"SKMEL5 Parental","plx","Drug-naive",0,1,3.18206429135356
"15",131,845,"F",2,18008,116.6047,"F02",14.1363503414542,"SKMEL5 Parental","plx","Drug-naive",0,1,3.67794372821762
"16",146,6,"G",2,1414,0,"G02",10.4655664048094,"SKMEL5 Parental","plx","Drug-naive",0,2,0
"17",147,66,"G",2,1808,13.6606,"G02",10.8201789624152,"SKMEL5 Parental","plx","Drug-naive",0,2,0.354612557605789
"18",148,126,"G",2,2105,22.1131,"G02",11.0396045179538,"SKMEL5 Parental","plx","Drug-naive",0,2,0.574038113144359
"19",149,186,"G",2,2715,24.575,"G02",11.4067364826917,"SKMEL5 Parental","plx","Drug-naive",0,2,0.941170077882324
"20",150,246,"G",2,3370,38.0756,"G02",11.7185328760692,"SKMEL5 Parental","plx","Drug-naive",0,2,1.25296647125982
"21",151,306,"G",2,3844,42.5656,"G02",11.9083926207737,"SKMEL5 Parental","plx","Drug-naive",0,2,1.44282621596435
"22",152,366,"G",2,4677,46.7875,"G02",12.1913677134189,"SKMEL5 Parental","plx","Drug-naive",0,2,1.72580130860954
"23",153,426,"G",2,5511,64.1572,"G02",12.4280984118325,"SKMEL5 Parental","plx","Drug-naive",0,2,1.96253200702311
"24",154,486,"G",2,5961,68.0961,"G02",12.5413386579708,"SKMEL5 Parental","plx","Drug-naive",0,2,2.07577225316143
"25",155,546,"G",2,5523,68.5597,"G02",12.4312364120711,"SKMEL5 Parental","plx","Drug-naive",0,2,1.96567000726166
"26",156,606,"G",2,6042,72.9506,"G02",12.5608104687279,"SKMEL5 Parental","plx","Drug-naive",0,2,2.09524406391854
"27",157,666,"G",2,9813,87.6475,"G02",13.2604785448039,"SKMEL5 Parental","plx","Drug-naive",0,2,2.79491213999454
