"","X","Date","CellLine","Row","Cell.Nucleus","Well","Time","drug","conc","rep","l2","nl2"
"1",1,20151031,"SKMEL5 Subclone03","B",429,"B02",0,"plx",0,1,8.74483383749955,0
"2",61,20151031,"SKMEL5 Subclone03","B",577,"B02",16.9122,"plx",0,1,9.17242750864548,0.427593671145937
"3",121,20151031,"SKMEL5 Subclone03","B",714,"B02",25.3178,"plx",0,1,9.4797802640291,0.734946426529554
"4",181,20151031,"SKMEL5 Subclone03","B",986,"B02",39.2389,"plx",0,1,9.94544383637791,1.20060999887837
"5",241,20151031,"SKMEL5 Subclone03","B",3129,"B02",86.4383,"plx",0,1,11.6114859432409,2.86665210574138
"6",301,20151031,"SKMEL5 Subclone03","B",3459,"B02",94.5472,"plx",0,1,11.7561392983729,3.01130546087338
"7",361,20151031,"SKMEL5 Subclone03","B",5340,"B02",111.5292,"plx",0,1,12.3826240265749,3.63779018907537
"8",421,20151031,"SKMEL5 Subclone03","B",6533,"B02",119.1372,"plx",0,1,12.6735299244011,3.9286960869016
"9",481,20151031,"SKMEL5 Subclone03","B",9143,"B02",135.4592,"plx",0,1,13.1584519045384,4.41361806703884
"10",541,20151031,"SKMEL5 Subclone03","B",10330,"B02",142.0622,"plx",0,1,13.3345526337524,4.58971879625288
"11",601,20151031,"SKMEL5 Subclone03","B",13802,"B02",160.9006,"plx",0,1,13.752589717641,5.00775588014145
"12",661,20151031,"SKMEL5 Subclone03","B",16214,"B02",184.6306,"plx",0,1,13.9849524277324,5.24011859023282
"13",721,20151031,"SKMEL5 Subclone03","B",15676,"B02",190.7478,"plx",0,1,13.9362698576022,5.19143602010266
"14",781,20151031,"SKMEL5 Subclone03","B",17296,"B02",208.5317,"plx",0,1,14.0781508077346,5.3333169702351
"15",841,20151031,"SKMEL5 Subclone03","B",17280,"B02",232.6903,"plx",0,1,14.0768155970508,5.33198175955129
"16",901,20151031,"SKMEL5 Subclone03","B",14917,"B02",256.2172,"plx",0,1,13.8646697998403,5.11983596234076
"17",2,20151031,"SKMEL5 Subclone03","C",350,"C02",0,"plx",0,2,8.45121111183233,0
"18",62,20151031,"SKMEL5 Subclone03","C",457,"C02",16.9122,"plx",0,2,8.83605035505807,0.384839243225741
"19",122,20151031,"SKMEL5 Subclone03","C",568,"C02",25.3178,"plx",0,2,9.14974711950468,0.698536007672352
"20",182,20151031,"SKMEL5 Subclone03","C",743,"C02",39.2389,"plx",0,2,9.5372184005386,1.08600728870627
"21",242,20151031,"SKMEL5 Subclone03","C",2314,"C02",86.4383,"plx",0,2,11.1761731491075,2.72496203727516
