"","Birth.frame","Birth.ID","End.frame","End.ID","End.of.Movie","Died1","FUCCI.ON.frame","Questionable","Notes","Birth.time..h.","Lifetime..h.","EOE","Died","G1_time","S_G2_M_time","Match","min_bt_frames","CellLine","phase"
"1",37,"A",446,NA,NA,TRUE,156,NA,NA,12.3,136.3,FALSE,TRUE,39.7,96.7,NA,20,"SC01","early"
"2",37,"A",453,NA,TRUE,NA,155,NA,NA,12.3,138.7,TRUE,FALSE,39.3,99.3,NA,20,"SC01","early"
"3",12,"A",453,NA,TRUE,NA,120,NA,NA,4,147,TRUE,FALSE,36,111,NA,20,"SC01","early"
"4",18,"A",150,NA,NA,NA,130,NA,NA,6,44,FALSE,FALSE,37.3,6.7,NA,20,"SC01","early"
"5",18,"A",184,NA,NA,NA,128,NA,NA,6,55.3,FALSE,FALSE,36.7,18.7,NA,20,"SC01","early"
"6",185,"A",334,NA,NA,TRUE,NA,NA,NA,61.7,49.7,FALSE,TRUE,49.7,0,NA,20,"SC01","early"
"7",185,"A",248,NA,NA,TRUE,240,NA,NA,61.7,21,FALSE,TRUE,18.3,2.7,NA,20,"SC01","early"
"8",9,"A",192,NA,NA,NA,143,NA,NA,3,61,FALSE,FALSE,44.7,16.3,NA,20,"SC01","early"
"9",9,"A",142,NA,NA,NA,86,NA,NA,3,44.3,FALSE,FALSE,25.7,18.7,NA,20,"SC01","early"
"10",11,"A",225,NA,NA,TRUE,162,NA,NA,3.7,71.3,FALSE,TRUE,50.3,21,NA,20,"SC01","early"
"11",11,"A",122,NA,NA,NA,90,NA,NA,3.7,37,FALSE,FALSE,26.3,10.7,NA,20,"SC01","early"
"12",17,"A",104,NA,NA,NA,72,NA,NA,5.7,29,FALSE,FALSE,18.3,10.7,NA,20,"SC01","early"
"13",143,"A",267,NA,NA,NA,224,NA,NA,47.7,41.3,FALSE,FALSE,27,14.3,NA,20,"SC01","early"
"14",193,"A",268,NA,NA,TRUE,263,NA,NA,64.3,25,FALSE,TRUE,23.3,1.7,NA,20,"SC01","early"
"15",123,"A",290,NA,NA,NA,253,NA,NA,41,55.7,FALSE,FALSE,43.3,12.3,NA,20,"SC01","early"
"16",123,"A",453,NA,TRUE,NA,450,NA,NA,41,110,TRUE,FALSE,109,1,NA,20,"SC01","early"
"17",34,"A",132,NA,NA,TRUE,NA,NA,NA,11.3,32.7,FALSE,TRUE,32.7,0,NA,20,"SC01","early"
"18",34,"A",207,NA,NA,TRUE,75,NA,NA,11.3,57.7,FALSE,TRUE,13.7,44,NA,20,"SC01","early"
"19",105,"A",348,NA,NA,NA,156,NA,NA,35,81,FALSE,FALSE,17,64,NA,20,"SC01","early"
"20",105,"A",267,NA,NA,NA,224,NA,NA,35,54,FALSE,FALSE,39.7,14.3,NA,20,"SC01","early"
"21",46,"A",243,NA,NA,NA,146,NA,NA,15.3,65.7,FALSE,FALSE,33.3,32.3,NA,20,"SC01","early"
"22",46,"A",184,NA,NA,NA,158,NA,NA,15.3,46,FALSE,FALSE,37.3,8.7,NA,20,"SC01","early"
"23",244,"A",289,NA,NA,NA,281,NA,NA,81.3,15,FALSE,FALSE,12.3,2.7,NA,20,"SC01","early"
"24",185,"B",283,NA,NA,TRUE,258,NA,NA,61.7,32.7,FALSE,TRUE,24.3,8.3,NA,20,"SC01","early"
"25",185,"B",334,NA,NA,NA,317,NA,NA,61.7,49.7,FALSE,FALSE,44,5.7,NA,20,"SC01","early"
"26",268,"A",453,NA,TRUE,NA,NA,NA,NA,89.3,61.7,TRUE,FALSE,61.7,0,NA,20,"SC01","early"
"27",167,"A",453,NA,TRUE,NA,308,NA,NA,55.7,95.3,TRUE,FALSE,47,48.3,NA,20,"SC01","early"
"28",167,"A",453,NA,TRUE,NA,292,NA,NA,55.7,95.3,TRUE,FALSE,41.7,53.7,NA,20,"SC01","early"
"29",221,"A",313,NA,NA,TRUE,NA,NA,NA,73.7,30.7,FALSE,TRUE,30.7,0,NA,20,"SC01","early"
"30",288,"A",328,NA,NA,TRUE,NA,NA,NA,96,13.3,FALSE,TRUE,13.3,0,NA,20,"SC01","early"
"31",19,"A",133,NA,NA,NA,108,NA,NA,6.3,38,FALSE,FALSE,29.7,8.3,NA,20,"SC01","early"
"32",19,"A",109,NA,NA,NA,83,NA,NA,6.3,30,FALSE,FALSE,21.3,8.7,NA,20,"SC01","early"
"33",23,"A",115,NA,NA,TRUE,55,NA,NA,7.7,30.7,FALSE,TRUE,10.7,20,NA,20,"SC01","early"
"34",23,"A",329,NA,NA,NA,137,NA,NA,7.7,102,FALSE,FALSE,38,64,NA,20,"SC01","early"
"35",23,"B",151,NA,NA,NA,129,NA,NA,7.7,42.7,FALSE,FALSE,35.3,7.3,NA,20,"SC01","early"
"36",23,"B",374,NA,NA,NA,344,NA,NA,7.7,117,FALSE,FALSE,107,10,NA,20,"SC01","early"
"37",110,"A",186,NA,NA,TRUE,NA,NA,NA,36.7,25.3,FALSE,TRUE,25.3,0,NA,20,"SC01","early"
"38",110,"A",217,NA,NA,NA,190,NA,NA,36.7,35.7,FALSE,FALSE,26.7,9,NA,20,"SC01","early"
"39",134,"A",184,NA,NA,NA,168,NA,NA,44.7,16.7,FALSE,FALSE,11.3,5.3,NA,20,"SC01","early"
"40",134,"A",191,NA,NA,NA,170,NA,NA,44.7,19,FALSE,FALSE,12,7,NA,20,"SC01","early"
"41",218,"A",335,NA,NA,TRUE,NA,NA,NA,72.7,39,FALSE,TRUE,39,0,NA,20,"SC01","early"
"42",152,"A",453,NA,TRUE,NA,NA,NA,NA,50.7,100.3,TRUE,FALSE,100.3,0,NA,20,"SC01","early"
"43",375,"A",453,NA,TRUE,NA,NA,NA,NA,125,26,TRUE,FALSE,26,0,NA,20,"SC01","early"
"44",375,"A",453,NA,TRUE,NA,NA,NA,NA,125,26,TRUE,FALSE,26,0,NA,20,"SC01","early"
