"","Slice","Count","l2","Time","day","cID","nl2","Cell","conc","drug"
"1","WellR02-C02H2B_day0",5,2.32192809488736,-169.1575,-4,1,-3.51096191927738,"SC01",8,"plx"
"2","WellR02-C02H2B_day1",16,4,-124.1042,-3,1,-1.83289001416474,"SC01",8,"plx"
"3","WellR02-C02H2B_day2",21,4.39231742277876,-100.3244,-2,1,-1.44057259138598,"SC01",8,"plx"
"4","WellR02-C02H2B_day3",34,5.08746284125034,-45.9536,-1,1,-0.745427172914402,"SC01",8,"plx"
"5","WellR02-C02H2B_day4",57,5.83289001416474,0,0,1,0,"SC01",8,"plx"
"6","WellR02-C02H2B_day5",58,5.85798099512757,17.6897,1,1,0.0250909809628306,"SC01",8,"plx"
"7","WellR02-C02H2B_day6",27,4.75488750216347,49.4008,2,1,-1.07800251200127,"SC01",8,"plx"
"8","WellR02-C02H2B_day7",16,4,67.66,3,1,-1.83289001416474,"SC01",8,"plx"
"9","WellR02-C02H2B_day8",12,3.58496250072116,98.6242,4,1,-2.24792751344359,"SC01",8,"plx"
"10","WellR02-C02H2B_day9",5,2.32192809488736,140.8703,5,1,-3.51096191927738,"SC01",8,"plx"
"11","WellR02-C02H2B_day10",6,2.58496250072116,168.3842,6,1,-3.24792751344359,"SC01",8,"plx"
"12","WellR02-C02H2B_day11",2,1,235.0925,7,1,-4.83289001416474,"SC01",8,"plx"
"13","WellR02-C02H2B_day0",2,1,-169.1575,-4,2,-4.75488750216347,"SC01",8,"plx"
"14","WellR02-C02H2B_day1",3,1.58496250072116,-124.1042,-3,2,-4.16992500144231,"SC01",8,"plx"
"15","WellR02-C02H2B_day2",5,2.32192809488736,-100.3244,-2,2,-3.43295940727611,"SC01",8,"plx"
"16","WellR02-C02H2B_day3",27,4.75488750216347,-45.9536,-1,2,-1,"SC01",8,"plx"
"17","WellR02-C02H2B_day4",54,5.75488750216347,0,0,2,0,"SC01",8,"plx"
"18","WellR02-C02H2B_day5",34,5.08746284125034,17.6897,1,2,-0.667424660913129,"SC01",8,"plx"
"19","WellR02-C02H2B_day6",18,4.16992500144231,49.4008,2,2,-1.58496250072116,"SC01",8,"plx"
"20","WellR02-C02H2B_day7",9,3.16992500144231,67.66,3,2,-2.58496250072116,"SC01",8,"plx"
"21","WellR02-C02H2B_day8",1,0,98.6242,4,2,-5.75488750216347,"SC01",8,"plx"
"22","WellR02-C02H2B_day9",7,2.8073549220576,140.8703,5,2,-2.94753258010586,"SC01",8,"plx"
"23","WellR02-C02H2B_day10",4,2,168.3842,6,2,-3.75488750216347,"SC01",8,"plx"
"24","WellR02-C02H2B_day11",4,2,235.0925,7,2,-3.75488750216347,"SC01",8,"plx"
"25","WellR02-C03H2B_day0",2,1,-169.1575,-4,3,-4.55458885167764,"SC01",8,"plx"
"26","WellR02-C03H2B_day1",7,2.8073549220576,-124.1042,-3,3,-2.74723392962003,"SC01",8,"plx"
