"","Date","Slice","Time","Count","cID","l2","nl2","CellLine","drug","conc"
"1","20140808","WellR04-C02H2B_day0",-165.5514,4,1,2,-4.50779464,"SKMEL5","PLX4720",8
"2","20140808","WellR04-C02H2B_day1",-124.450300008,6,1,2.584962501,-3.922832139,"SKMEL5","PLX4720",8
"3","20140808","WellR04-C02H2B_day2",-100.8636,11,1,3.459431619,-3.048363022,"SKMEL5","PLX4720",8
"4","20140808","WellR04-C02H2B_day3",-75.203899992,21,1,4.392317423,-2.115477217,"SKMEL5","PLX4720",8
"5","20140808","WellR04-C02H2B_day4",-47.8656,37,1,5.209453366,-1.298341275,"SKMEL5","PLX4720",8
"6","20140808","WellR04-C02H2B_day5",-22.648600008,69,1,6.108524457,-0.399270183,"SKMEL5","PLX4720",8
"7","20140808","WellR04-C02H2B_day6",0,91,1,6.50779464,0,"SKMEL5","PLX4720",8
"8","20140808","WellR04-C02H2B_day7",2.022799992,99,1,6.62935662,0.12156198,"SKMEL5","PLX4720",8
"9","20140808","WellR04-C02H2B_day8",19.0719,113,1,6.820178962,0.312384322,"SKMEL5","PLX4720",8
"10","20140808","WellR04-C02H2B_day9",48.643000008,91,1,6.50779464,0,"SKMEL5","PLX4720",8
"11","20140808","WellR04-C02H2B_day10",67.994200008,92,1,6.523561956,0.015767316,"SKMEL5","PLX4720",8
"12","20140808","WellR04-C02H2B_day11",92.5305,98,1,6.614709844,0.106915204,"SKMEL5","PLX4720",8
"13","20140808","WellR04-C02H2B_day12",98.33389992,74,1,6.209453366,-0.298341275,"SKMEL5","PLX4720",8
"14","20140808","WellR04-C02H2B_day13",117.17440008,75,1,6.22881869,-0.27897595,"SKMEL5","PLX4720",8
"15","20140808","WellR04-C02H2B_day14",139.98250008,58,1,5.857980995,-0.649813645,"SKMEL5","PLX4720",8
"16","20140808","WellR04-C02H2B_day15",145.8003,44,1,5.459431619,-1.048363022,"SKMEL5","PLX4720",8
"17","20140808","WellR04-C02H2B_day16",163.40050008,54,1,5.754887502,-0.752907138,"SKMEL5","PLX4720",8
"18","20140808","WellR04-C02H2B_day17",191.4672,34,1,5.087462841,-1.420331799,"SKMEL5","PLX4720",8
"19","20140808","WellR04-C02H2B_day18",221.49250008,22,1,4.459431619,-2.048363022,"SKMEL5","PLX4720",8
"20","20140808","WellR04-C02H2B_day19",235.3725,18,1,4.169925001,-2.337869639,"SKMEL5","PLX4720",8
"21","20140808","WellR04-C02H2B_day20",260.8044,22,1,4.459431619,-2.048363022,"SKMEL5","PLX4720",8
"22","20140808","WellR04-C02H2B_day0",-165.5514,1,3,0,-5.523561956,"SKMEL5","PLX4720",8
"23","20140808","WellR04-C02H2B_day1",-124.450300008,1,3,0,-5.523561956,"SKMEL5","PLX4720",8
"24","20140808","WellR04-C02H2B_day2",-100.8636,5,3,2.321928095,-3.201633861,"SKMEL5","PLX4720",8
"25","20140808","WellR04-C02H2B_day3",-75.203899992,7,3,2.807354922,-2.716207034,"SKMEL5","PLX4720",8
"26","20140808","WellR04-C02H2B_day4",-47.8656,23,3,4.523561956,-1,"SKMEL5","PLX4720",8
"27","20140808","WellR04-C02H2B_day5",-22.648600008,28,3,4.807354922,-0.716207034,"SKMEL5","PLX4720",8
"28","20140808","WellR04-C02H2B_day6",0,46,3,5.523561956,0,"SKMEL5","PLX4720",8
"29","20140808","WellR04-C02H2B_day7",2.022799992,37,3,5.209453366,-0.31410859,"SKMEL5","PLX4720",8
"30","20140808","WellR04-C02H2B_day8",19.0719,31,3,4.95419631,-0.569365646,"SKMEL5","PLX4720",8
"31","20140808","WellR04-C02H2B_day9",48.643000008,16,3,4,-1.523561956,"SKMEL5","PLX4720",8
"32","20140808","WellR04-C02H2B_day10",67.994200008,15,3,3.906890596,-1.61667136,"SKMEL5","PLX4720",8
"33","20140808","WellR04-C02H2B_day11",92.5305,7,3,2.807354922,-2.716207034,"SKMEL5","PLX4720",8
"34","20140808","WellR04-C02H2B_day12",98.33389992,5,3,2.321928095,-3.201633861,"SKMEL5","PLX4720",8
"35","20140808","WellR04-C02H2B_day13",117.17440008,3,3,1.584962501,-3.938599455,"SKMEL5","PLX4720",8
"36","20140808","WellR04-C02H2B_day14",139.98250008,5,3,2.321928095,-3.201633861,"SKMEL5","PLX4720",8
"37","20140808","WellR04-C02H2B_day15",145.8003,4,3,2,-3.523561956,"SKMEL5","PLX4720",8
"38","20140808","WellR04-C02H2B_day16",163.40050008,5,3,2.321928095,-3.201633861,"SKMEL5","PLX4720",8
"39","20140808","WellR04-C02H2B_day17",191.4672,3,3,1.584962501,-3.938599455,"SKMEL5","PLX4720",8
"40","20140808","WellR04-C02H2B_day18",221.49250008,7,3,2.807354922,-2.716207034,"SKMEL5","PLX4720",8
"41","20140808","WellR04-C02H2B_day19",235.3725,8,3,3,-2.523561956,"SKMEL5","PLX4720",8
"42","20140808","WellR04-C02H2B_day20",260.8044,8,3,3,-2.523561956,"SKMEL5","PLX4720",8
"43","20140808","WellR04-C03H2B_day0",-165.5514,1,4,0,-5.700439718,"SKMEL5","PLX4720",8
"44","20140808","WellR04-C03H2B_day1",-124.450300008,4,4,2,-3.700439718,"SKMEL5","PLX4720",8
"45","20140808","WellR04-C03H2B_day2",-100.8636,8,4,3,-2.700439718,"SKMEL5","PLX4720",8
"46","20140808","WellR04-C03H2B_day3",-75.203899992,12,4,3.584962501,-2.115477217,"SKMEL5","PLX4720",8
"47","20140808","WellR04-C03H2B_day4",-47.8656,24,4,4.584962501,-1.115477217,"SKMEL5","PLX4720",8
"48","20140808","WellR04-C03H2B_day5",-22.648600008,37,4,5.209453366,-0.490986353,"SKMEL5","PLX4720",8
"49","20140808","WellR04-C03H2B_day6",0,52,4,5.700439718,0,"SKMEL5","PLX4720",8
"50","20140808","WellR04-C03H2B_day7",2.022799992,50,4,5.64385619,-0.056583528,"SKMEL5","PLX4720",8
"51","20140808","WellR04-C03H2B_day8",19.0719,55,4,5.781359714,0.080919995,"SKMEL5","PLX4720",8
"52","20140808","WellR04-C03H2B_day9",48.643000008,52,4,5.700439718,0,"SKMEL5","PLX4720",8
"53","20140808","WellR04-C03H2B_day10",67.994200008,48,4,5.584962501,-0.115477217,"SKMEL5","PLX4720",8
"54","20140808","WellR04-C03H2B_day11",92.5305,49,4,5.614709844,-0.085729874,"SKMEL5","PLX4720",8
"55","20140808","WellR04-C03H2B_day12",98.33389992,55,4,5.781359714,0.080919995,"SKMEL5","PLX4720",8
"56","20140808","WellR04-C03H2B_day13",117.17440008,66,4,6.044394119,0.343954401,"SKMEL5","PLX4720",8
"57","20140808","WellR04-C03H2B_day14",139.98250008,57,4,5.832890014,0.132450296,"SKMEL5","PLX4720",8
"58","20140808","WellR04-C03H2B_day15",145.8003,46,4,5.523561956,-0.176877762,"SKMEL5","PLX4720",8
"59","20140808","WellR04-C03H2B_day16",163.40050008,44,4,5.459431619,-0.2410081,"SKMEL5","PLX4720",8
"60","20140808","WellR04-C03H2B_day17",191.4672,37,4,5.209453366,-0.490986353,"SKMEL5","PLX4720",8
"61","20140808","WellR04-C03H2B_day18",221.49250008,30,4,4.906890596,-0.793549123,"SKMEL5","PLX4720",8
"62","20140808","WellR04-C03H2B_day19",235.3725,26,4,4.700439718,-1,"SKMEL5","PLX4720",8
"63","20140808","WellR04-C03H2B_day20",260.8044,23,4,4.523561956,-1.176877762,"SKMEL5","PLX4720",8
"64","20140808","WellR04-C03H2B_day0",-165.5514,2,5,1,-5.807354922,"SKMEL5","PLX4720",8
"65","20140808","WellR04-C03H2B_day1",-124.450300008,7,5,2.807354922,-4,"SKMEL5","PLX4720",8
"66","20140808","WellR04-C03H2B_day2",-100.8636,12,5,3.584962501,-3.222392421,"SKMEL5","PLX4720",8
"67","20140808","WellR04-C03H2B_day3",-75.203899992,21,5,4.392317423,-2.415037499,"SKMEL5","PLX4720",8
"68","20140808","WellR04-C03H2B_day4",-47.8656,40,5,5.321928095,-1.485426827,"SKMEL5","PLX4720",8
"69","20140808","WellR04-C03H2B_day5",-22.648600008,67,5,6.06608919,-0.741265732,"SKMEL5","PLX4720",8
"70","20140808","WellR04-C03H2B_day6",0,112,5,6.807354922,0,"SKMEL5","PLX4720",8
"71","20140808","WellR04-C03H2B_day7",2.022799992,103,5,6.686500527,-0.120854395,"SKMEL5","PLX4720",8
"72","20140808","WellR04-C03H2B_day8",19.0719,109,5,6.768184325,-0.039170597,"SKMEL5","PLX4720",8
"73","20140808","WellR04-C03H2B_day9",48.643000008,69,5,6.108524457,-0.698830465,"SKMEL5","PLX4720",8
"74","20140808","WellR04-C03H2B_day10",67.994200008,61,5,5.930737338,-0.876617584,"SKMEL5","PLX4720",8
