"","Cell","rates"
"Time","SKMEL5",0.00422686023093582
"Time1","SKMEL5",-0.0101061674920183
"Time2","SKMEL5",-0.000907604442909882
"Time3","SKMEL5",-0.000620885245074546
"Time4","SKMEL5",0.003625598810891
"Time5","SKMEL5",0.00906225891175519
"Time6","SKMEL5",0.00459321596389753
"Time7","SKMEL5",-0.00216693295940182
"Time8","SKMEL5",0.00766558255501973
"Time9","SKMEL5",0.0010766236851919
"Time10","SKMEL5",-0.000937047110260652
"Time11","SKMEL5",-0.000796161927205488
"Time12","SKMEL5",0.00381736153675341
"Time13","SKMEL5",0.00617501533959358
"Time14","SKMEL5",0.000820094288932222
"Time15","SKMEL5",0.00117205616641741
"Time16","SKMEL5",0.00695257846517336
"Time17","SKMEL5",-0.00146753311065025
"Time18","SKMEL5",-0.00235499442868246
"Time19","SKMEL5",0.00588731109477162
"Time20","SKMEL5",0.00862305797636745
"Time21","SKMEL5",0.000782708540846534
"Time22","SKMEL5",0.00588203109766512
"Time23","SKMEL5",0.00569607377249677
"Time24","SKMEL5",0.00324662356850175
"Time25","SKMEL5",-0.000235802571989103
"Time26","SKMEL5",0.00270017393168746
"Time27","SKMEL5",0.000557327354388896
"Time28","SKMEL5",0.00496122683292722
"Time29","SKMEL5",-0.00222499674288208
"Time30","SKMEL5",0.0146358134221733
"Time31","SKMEL5",0.0105497717472665
"Time32","SKMEL5",0.00687260227074005
"Time33","SKMEL5",0.00875997725312762
"Time34","SKMEL5",0.00342972732689458
"Time35","SKMEL5",0.01076242991869
"Time36","SKMEL5",0.00247031906170179
"Time37","SKMEL5",0.00570691480329637
"Time38","SKMEL5",0.00764777519705091
"Time39","SKMEL5",-0.000156958674778828
"Time40","SKMEL5",0.00940817735692165
"Time41","SKMEL5",0.0066382991307941
"Time42","SKMEL5",0.0050063381760251
"Time43","SKMEL5",0.0104374280656305
"Time44","SKMEL5",0.0062647617481667
"Time45","SKMEL5",0.0108501933615786
"Time46","SKMEL5",0.00548840655746168
"Time47","SKMEL5",0.0048153336666062
"Time48","SKMEL5",0.00759626100135388
"Time49","SKMEL5",0.0068146446803995
"Time50","SKMEL5",0.00974060661153668
"Time51","SKMEL5",0.00509864248889873
"Time52","SKMEL5",0.00340865450910476
"Time53","SKMEL5",0.00568127694230576
"Time54","SKMEL5",0.0052715633167154
"Time55","SKMEL5",0.00327192223611947
"Time56","SKMEL5",0.00483347940076725
"Time57","SKMEL5",0.00504218871064776
"Time58","SKMEL5",-0.00106893028033458
"Time59","SKMEL5",0.00964893142474897
"Time60","SKMEL5",0.0071685790922292
"Time61","SKMEL5",0.00623538018712501
"Time62","SKMEL5",0.0119621955517165
"Time63","SKMEL5",0.00515985982505915
"Time64","SKMEL5",0.0091807978823939
"Time65","SKMEL5",0.00187333954346902
"Time66","SKMEL5",0.00500205028162955
"Time67","SKMEL5",0.00319885824745931
"Time68","SKMEL5",0.000537088530318651
"Time69","SKMEL5",-0.00218229810261763
"Time70","SKMEL5",0.00060292126558718
"Time71","SKMEL5",0.00615023135882081
"Time72","SKMEL5",0.00562442872463409
"Time73","SKMEL5",0.00719589804170549
"Time74","SKMEL5",0.000827739472812013
"Time75","SKMEL5",0.00453203353949388
"Time76","SKMEL5",0.00239612121373799
"Time77","SKMEL5",0.00910973013348861
"Time78","SKMEL5",0.0108151856389352
"Time79","SKMEL5",0.00385539580463896
"Time80","SKMEL5",-0.00499635744942044
"Time81","SKMEL5",0.0107828326326797
"Time82","SKMEL5",0.0060920716952946
"Time83","SKMEL5",-0.000358573654654217
"Time84","SKMEL5",0.00354560962694935
"Time85","SKMEL5",0.00149875587910216
"Time86","SKMEL5",0.00591284998119393
"Time87","SKMEL5",0.00813688057048144
"Time88","SKMEL5",0.0130971801471456
"Time89","SKMEL5",0.00584960890426614
"Time90","SKMEL5",0.00953043021988209
"Time91","SKMEL5",0.0076612217067466
"Time92","SKMEL5",0.00573445209827261
"Time93","SKMEL5",0.00692608457886727
"Time94","SKMEL5",0.00317775894617839
"Time95","SKMEL5",0.00592640930586939
"Time96","SKMEL5",0.0136703682325406
"Time97","SKMEL5",0.00371063957251568
"Time98","SKMEL5",0.00119190811652079
"Time99","SKMEL5",0.00382505262021775
"Time100","SKMEL5",0.0100069441620703
"Time101","SKMEL5",0.0254447588469192
"Time102","SKMEL5",0.00678072355664886
"Time103","SKMEL5",0.00940015546657135
"Time104","SKMEL5",-0.000953536168478815
"Time105","SKMEL5",0.00936959611262838
"Time106","SKMEL5",0.00429482807536773
"Time107","SKMEL5",0.00403934541299169
"Time108","SKMEL5",-0.00421396402019795
"Time109","SKMEL5",0.00437159808052686
"Time110","SKMEL5",0.00669693229634319
