"","Row","Cell.Nucleus","Time","Well","l2","CellLine","drug","cond","conc","rep","nl2"
"1","B",4143,0,"B02",12.0164601049792,"SKMEL5","plx","dmso-pt",0,1,0
"2","B",4855,3.3861,"B02",12.2452555803066,"SKMEL5","plx","dmso-pt",0,1,0.228795475327347
"3","B",5320,6.2044,"B02",12.3772105303886,"SKMEL5","plx","dmso-pt",0,1,0.360750425409345
"4","B",8138,22.5522,"B02",12.9904585650737,"SKMEL5","plx","dmso-pt",0,1,0.973998460094503
"5","B",9954,30.5219,"B02",13.281060671677,"SKMEL5","plx","dmso-pt",0,1,1.26460056669781
"6","B",11027,36.0103,"B02",13.428752724983,"SKMEL5","plx","dmso-pt",0,1,1.41229262000383
"7","B",13960,47.4228,"B02",13.769011321097,"SKMEL5","plx","dmso-pt",0,1,1.75255121611781
"8","B",14183,50.1033,"B02",13.7918751044647,"SKMEL5","plx","dmso-pt",0,1,1.77541499948549
"9","B",16342,55.0403,"B02",13.9962969366874,"SKMEL5","plx","dmso-pt",0,1,1.97983683170817
"10","B",22723,71.0417,"B02",14.4718656985207,"SKMEL5","plx","dmso-pt",0,1,2.45540559354148
"11","B",24911,78.7686,"B02",14.604495316266,"SKMEL5","plx","dmso-pt",0,1,2.58803521128683
"12","B",29994,99.7039,"B02",14.8723863124047,"SKMEL5","plx","dmso-pt",0,1,2.85592620742547
"16","C",4126,0,"C02",12.0105281058865,"SKMEL5","plx","dmso-pt",0,2,0
"17","C",4301,3.3861,"C02",12.0704564159446,"SKMEL5","plx","dmso-pt",0,2,0.0599283100581651
"18","C",4801,6.2044,"C02",12.2291192206586,"SKMEL5","plx","dmso-pt",0,2,0.21859111477211
"19","C",7407,22.5522,"C02",12.8546736218639,"SKMEL5","plx","dmso-pt",0,2,0.844145515977454
"20","C",8849,30.5219,"C02",13.1112987142583,"SKMEL5","plx","dmso-pt",0,2,1.10077060837178
"21","C",10694,36.0103,"C02",13.3845139613986,"SKMEL5","plx","dmso-pt",0,2,1.37398585551213
"22","C",12780,47.4228,"C02",13.6416002158344,"SKMEL5","plx","dmso-pt",0,2,1.63107210994787
"23","C",14127,50.1033,"C02",13.7861675080207,"SKMEL5","plx","dmso-pt",0,2,1.7756394021342
"24","C",15729,55.0403,"C02",13.9411393312375,"SKMEL5","plx","dmso-pt",0,2,1.93061122535103
"25","C",20658,71.0417,"C02",14.3344129662911,"SKMEL5","plx","dmso-pt",0,2,2.32388486040459
"26","C",22519,78.7686,"C02",14.4588551427103,"SKMEL5","plx","dmso-pt",0,2,2.44832703682386
"27","C",29492,99.7039,"C02",14.8480360416318,"SKMEL5","plx","dmso-pt",0,2,2.83750793574533
"31","D",4314,0,"D02",12.0748104611605,"SKMEL5","plx","dmso-pt",0,3,0
"32","D",4827,3.3861,"D02",12.2369111114446,"SKMEL5","plx","dmso-pt",0,3,0.162100650284149
"33","D",5012,6.2044,"D02",12.2911706993219,"SKMEL5","plx","dmso-pt",0,3,0.216360238161407
"34","D",7786,22.5522,"D02",12.9266666293473,"SKMEL5","plx","dmso-pt",0,3,0.85185616818683
"35","D",9508,30.5219,"D02",13.2149261879424,"SKMEL5","plx","dmso-pt",0,3,1.14011572678198
"36","D",10889,36.0103,"D02",13.4105838486378,"SKMEL5","plx","dmso-pt",0,3,1.33577338747739
"37","D",13497,47.4228,"D02",13.7203511523002,"SKMEL5","plx","dmso-pt",0,3,1.64554069113975
"38","D",14054,50.1033,"D02",13.7786931832238,"SKMEL5","plx","dmso-pt",0,3,1.70388272206339
"39","D",16106,55.0403,"D02",13.9753106180567,"SKMEL5","plx","dmso-pt",0,3,1.90050015689628
"40","D",21009,71.0417,"D02",14.358719872861,"SKMEL5","plx","dmso-pt",0,3,2.2839094117005
"41","D",24183,78.7686,"D02",14.5617056074555,"SKMEL5","plx","dmso-pt",0,3,2.48689514629502
"42","D",30281,99.7039,"D02",14.886125229233,"SKMEL5","plx","dmso-pt",0,3,2.81131476807258
"46","B",5210,0,"B03",12.3470676571659,"SKMEL5","plx","dmso-pt",0.125,1,0
"47","B",5743,3.3861,"B03",12.487588846386,"SKMEL5","plx","dmso-pt",0.125,1,0.140521189220159
"48","B",6382,6.2044,"B03",12.6397928932793,"SKMEL5","plx","dmso-pt",0.125,1,0.292725236113441
