"","Cell","conc","rates"
"Time","WM88",8,-0.0126332838359991
"Time1","WM88",8,-0.002624719372923
"Time2","WM88",8,-0.0078470853110663
"Time3","WM88",8,-0.0163150390239346
"Time4","WM88",8,-0.0405232714879722
"Time5","WM88",8,-0.0197858793209124
"Time6","WM88",8,-0.00064511421593862
"Time7","WM88",8,-0.0287530968823115
"Time8","WM88",8,-0.0297436437942703
"Time9","WM88",8,-0.0186161169096125
"Time10","WM88",8,-0.0154454467124983
"Time11","WM88",8,-0.0245583502834542
"Time12","WM88",8,-0.0151470145758793
"Time13","WM88",8,-0.0190578180849728
"Time14","WM88",8,-0.0254660752023139
"Time15","WM88",8,-0.0226786685276132
"Time16","WM88",8,-0.0345279028562269
"Time17","WM88",8,-0.038666940192169
"Time18","WM88",8,-0.00818921256339308
"Time19","WM88",8,-0.0259090696294261
"Time20","WM88",8,-0.0134235198936095
"Time21","WM88",8,-0.0356453123612333
"Time22","WM88",8,-0.0168737189751041
"Time23","WM88",8,-0.0359512268118582
"Time24","WM88",8,-0.0330797935074298
"Time25","WM88",8,-0.0110838414918936
"Time26","WM88",8,-0.0193567627963766
"Time27","WM88",8,-0.0361755335581729
"Time28","WM88",8,-0.0256358439367952
"Time29","WM88",8,-0.0201267035520147
"Time30","WM88",8,-0.0275190983425279
"Time31","WM88",8,-0.03541598184237
"Time32","WM88",8,-0.00507115739514134
"Time33","WM88",8,-0.000645294934031847
"Time34","WM88",8,-0.00925059092313026
"Time35","WM88",8,-0.0199458186534401
"Time36","WM88",8,-0.0278337217933471
"Time37","WM88",8,-0.0167752056112086
"Time38","WM88",8,-0.0241058009598446
"Time39","WM88",8,-0.0231197860317009
"Time40","WM88",8,-0.0440784658968377
"Time41","WM88",8,-0.0440020340318618
"Time42","WM88",8,-0.0309562941095933
"Time43","WM88",8,-0.03049466062144
"Time44","WM88",8,-0.0255437614858681
"Time45","WM88",8,-0.0277181060525096
"Time46","WM88",8,-0.0268166691768105
"Time47","WM88",8,-0.0325188269520141
"Time48","WM88",8,-0.0190678720162191
"Time49","WM88",8,-0.0217382772978619
"Time50","WM88",8,-0.0254953377725014
"Time51","WM88",8,-0.00529763752595547
"Time52","WM88",8,-0.0217295366720271
"Time53","WM88",8,-0.0300965233244737
"Time54","WM88",8,-0.0184173359918862
