"","Date","CellLine","Row","Cell.Nucleus","Well","Time","drug","conc","rep","l2","nl2"
"1","20170312","Parental","B",500,"B02",0,"vemurafenib",0,1,8.96578428466209,0
"61","20170312","Parental","B",1095,"B02",12.7883,"vemurafenib",0,1,10.0967151544885,1.13093086982645
"121","20170312","Parental","B",1391,"B02",21.6869,"vemurafenib",0,1,10.4419067045422,1.47612241988015
"181","20170312","Parental","B",1838,"B02",36.5203,"vemurafenib",0,1,10.843921051289,1.87813676662695
"241","20170312","Parental","B",2222,"B02",43.1836,"vemurafenib",0,1,11.1176431013891,2.151858816727
"301","20170312","Parental","B",3219,"B02",59.6397,"vemurafenib",0,1,11.6523968614777,2.68661257681559
"361","20170312","Parental","B",4313,"B02",83.8594,"vemurafenib",0,1,12.0744760007345,3.10869171607241
"421","20170312","Parental","B",5100,"B02",91.7883,"vemurafenib",0,1,12.3162815317462,3.35049724708413
"481","20170312","Parental","B",5100,"B02",92.6942,"vemurafenib",0,1,12.3162815317462,3.35049724708413
"541","20170312","Parental","B",6137,"B02",108.1861,"vemurafenib",0,1,12.5833178681375,3.61753358347542
"601","20170312","Parental","B",11163,"B02",156.8072,"vemurafenib",0,1,13.4464371758469,4.48065289118484
"661","20170312","Parental","B",12250,"B02",180.1622,"vemurafenib",0,1,13.5804941287773,4.61470984411521
"721","20170312","Parental","B",14499,"B02",186.1908,"vemurafenib",0,1,13.8236657801489,4.85788149548679
"781","20170312","Parental","B",14499,"B02",186.9692,"vemurafenib",0,1,13.8236657801489,4.85788149548679
"841","20170312","Parental","B",14958,"B02",206.7036,"vemurafenib",0,1,13.8686296682127,4.90284538355057
"901","20170312","Parental","B",12831,"B02",227.7819,"vemurafenib",0,1,13.6473459925975,4.6815617079354
"961","20170312","Parental","B",14475,"B02",251.8453,"vemurafenib",0,1,13.821275727764,4.85549144310187
"1021","20170312","Parental","B",16369,"B02",259.7217,"vemurafenib",0,1,13.9986785682456,5.03289428358349
"1081","20170312","Parental","B",13322,"B02",275.8244,"vemurafenib",0,1,13.7015230665744,4.73573878191235
"1141","20170312","Parental","B",9843,"B02",285.2869,"vemurafenib",0,1,13.2648823792396,4.29909809457749
"1201","20170312","Parental","B",9843,"B02",286.1939,"vemurafenib",0,1,13.2648823792396,4.29909809457749
"1261","20170312","Parental","B",18590,"B02",306.8336,"vemurafenib",0,1,14.1822391498068,5.21645486514476
"1321","20170312","Parental","B",12962,"B02",325.9642,"vemurafenib",0,1,13.6620007187185,4.69621643405639
"1381","20170312","Parental","B",12836,"B02",334.1675,"vemurafenib",0,1,13.6479080742818,4.68212378961972
"1441","20170312","Parental","B",12565,"B02",354.5186,"vemurafenib",0,1,13.617123050768,4.65133876610593
"2","20170312","Parental","C",752,"C02",0,"vemurafenib",0,2,9.55458885167764,0
"62","20170312","Parental","C",1287,"C02",12.7883,"vemurafenib",0,2,10.3297963382207,0.775207486543064
"122","20170312","Parental","C",5,"C02",21.6869,"vemurafenib",0,2,2.32192809488736,-7.23266075679028
"182","20170312","Parental","C",2160,"C02",36.5203,"vemurafenib",0,2,11.0768155970508,1.52222674537319
"242","20170312","Parental","C",2120,"C02",43.1836,"vemurafenib",0,2,11.0498485494506,1.49525969777292
"302","20170312","Parental","C",2641,"C02",59.6397,"vemurafenib",0,2,11.3668685861671,1.81227973448946
"362","20170312","Parental","C",4905,"C02",83.8594,"vemurafenib",0,2,12.2600374211066,2.70544856942896
"422","20170312","Parental","C",5614,"C02",91.7883,"vemurafenib",0,2,12.4548133485125,2.90022449683489
"482","20170312","Parental","C",5614,"C02",92.6942,"vemurafenib",0,2,12.4548133485125,2.90022449683489
"542","20170312","Parental","C",6745,"C02",108.1861,"vemurafenib",0,2,12.7196027278356,3.16501387615799
"602","20170312","Parental","C",12002,"C02",156.8072,"vemurafenib",0,2,13.5509872145215,3.99639836284388
